source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
1850,2324,69.85515622,15.20807293,27.86362,120.81173,27.8722,120.8266,6,205,0
258,2585,1.22539597,-48.50817228,27.986706,120.608952,27.98729,120.6081,8,234,0
841,2406,-46.84369526,0.84731158,28.0171,120.63698,28.01983,120.63469,3,70,0
864,2371,-14.86977363,-56.83421338,28.03948,120.56891,28.03981,120.57351,9,294,0
426,1484,-38.89991922,0.493783246,28.025933,120.641498,28.024192,120.638141,7,17,0
735,1837,-6.967940214,-17.93369235,27.993371,120.637184,27.98603,120.63754,8,170,0
1103,2182,11.86867035,-41.73124236,27.97694,120.62826,27.96515,120.61124,8,22,0
11,2377,33.3139492,52.2113353,27.99544,120.72251,27.9934,120.719,7,1437,0
202,1247,-31.71175459,27.40828586,28.0087,120.65515,28.00929,120.65212,3,34,0
637,1724,22.96488881,47.82430034,28.01522,120.68916,28.00258,120.70728,7,24,0
621,705,-2.45528504,-9.921604861,27.98848,120.61075,28.00227,120.63088,-1,8,0
653,864,-15.40623569,-58.91061727,28.03924,120.56603,28.03948,120.56891,9,48899,0
1264,1409,-47.20137451,15.17364715,28.02498,120.653057,28.02498,120.65306,7,14,0
1022,2944,21.7031955,34.72811543,27.99539,120.7173,27.99929,120.722247,7,33,0
772,1610,-46.84168463,-40.69891152,28.05187,120.61117,28.05249,120.60567,7,10528,0
412,1811,38.44077436,-40.87763349,27.91108,120.67813,27.89896,120.665197,3,2068,0
2177,2588,-9.170967818,-44.95513757,28.024786,120.575538,28.02213,120.5743,9,28183,0
547,2917,-1.840958619,42.47320895,27.98521,120.67877,27.98585,120.67889,4,307,0
396,1530,28.77233159,-47.72690314,27.85425,120.65996,27.86421,120.64917,3,126,0
213,766,-18.77964852,-12.18350536,28.01009,120.63564,28.00726,120.61292,-1,20,0
270,1723,-26.77639293,46.62460169,28.01764,120.68649,28.01437,120.67295,-1,564,0
205,2756,1.124120191,41.05828289,27.9885,120.68917,27.98645,120.68772,4,3709,0
780,1057,-8.091731225,53.66582545,28.01006,120.68043,28.00859,120.67718,-1,129,0
279,797,44.89865252,34.82362141,27.98465,120.73383,27.97373,120.74409,10,708,0
303,1286,-38.27981657,25.31716575,28.01193,120.64947,28.01117,120.65006,3,371,0
341,2129,-9.902926265,-15.20387249,27.98975,120.64468,27.98951,120.64774,-1,8225,0
