source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
1394,2229,-13.78733651,39.26582493,27.99572,120.672658,27.99852,120.65649,-1,4,0.0
1305,2422,65.19504922,-6.675935353,27.92668,120.81126,27.93079,120.82979,6,6,0.0
1679,2425,18.04850994,41.74299854,27.99338,120.70875,28.001305,120.717516,7,2,0.0
1693,1811,29.54914819,-44.91285956,27.85534,120.66953,27.89896,120.665197,3,51,0.0
608,1255,0.614474859,22.79066256,27.99367,120.69233,27.9997,120.67055,-1,44,0.33710738946300856
1955,2287,1.076378174,-3.301600889,28.00278,120.646,28.002169,120.645773,3,0,0.0
652,2570,74.7660982,8.408862757,27.88623,120.80236,27.8882,120.80334,6,1420,0.0
677,1560,-50.64094081,-30.52192164,28.040628,120.619569,28.034241,120.588717,-1,43,0.0
1089,2483,-13.01927165,-41.82559118,28.02804,120.57818,28.02455,120.61196,-1,0,0.0
1271,1385,-42.96781819,-21.11050449,28.047627,120.634779,28.05153,120.62762,7,8,0.0
682,1130,-34.61534687,-5.834104496,28.0412,120.629,28.02327,120.63423,-1,12,0.0
847,2150,9.258954232,-25.98719556,28.0807,120.8131,27.99711,120.58895,-1,39,0.0
2000,2721,42.84617034,-25.46544437,27.92247,120.70628,27.92299,120.70473,3,1683,0.0
14,97,-24.94932054,37.97996045,28.02496,120.66541,28.02629,120.6698,3,320,0.0
1159,2440,-22.08993403,-46.82056285,28.02791,120.59925,28.043033,120.586455,-1,27,1.998577596675674
500,2690,16.97768134,40.00031719,27.99978,120.7112,28.00749,120.70643,7,62,0.0
353,2653,-38.18336129,-36.98506669,28.04744,120.60876,28.03697,120.58917,-1,22,0.0
1082,2122,-28.61169854,15.96222256,28.016688,120.655528,28.01469,120.65426,3,71,0.0
841,2778,-7.743202826,-6.012441205,28.0171,120.63698,27.99859,120.64039,3,36,0.0
1338,1398,-43.78316115,-33.50220531,28.056963,120.625239,28.02438,120.60303,-1,10,0.0
464,647,3.829326026,-39.44096325,27.9659,120.64111,27.9749,120.63133,8,1433,0.0
