source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
2893,2914,-36.49013894,15.93176501,28.01724,120.64719,28.01922,120.64427,3,40,0.0
912,1365,39.98217117,42.46000731,27.98324,120.72334,27.982061,120.727042,1,3183,0.0
1494,2741,-60.91134315,-13.30703601,28.04977,120.64759,28.047585,120.646853,2,369,0.0
886,1999,32.16549835,-23.70589244,27.92484,120.70451,27.91395,120.70028,13,38,0.0
1149,1759,-23.54131675,43.82430055,28.02051,120.67683,28.018481,120.682668,3,337,0.0
556,2573,-2.301127007,-23.15993991,27.99014,120.62903,27.985516,120.627281,6,49,0.0
909,1794,17.89666333,-8.829867823,27.95992,120.64877,27.94302,120.67619,4,25,0.0
772,2116,-44.7130821,-40.49492,28.05187,120.61117,28.04925,120.60197,2,5563,0.0
382,867,-14.67257607,19.89392047,28.01967,120.6623,28.02368,120.66461,3,0,0.0
422,1678,25.12096234,47.69156193,28.00525,120.70299,27.99551,120.70595,-1,31,0.0
344,2778,-6.827605124,-3.38803455,27.99981,120.62687,27.99859,120.64039,3,6,113.6420121916922
1796,1951,-1.564952725,-1.900121284,28.04071,120.63988,28.04412,120.63996,2,11,0.0
859,1680,25.70985055,-6.316574029,27.95386,120.68203,27.96413,120.67139,4,405,0.0
160,1747,36.63836341,33.13333869,27.97864,120.71467,27.978667,120.735061,-1,504,0.0
1659,2120,-29.98105157,32.29027189,28.00263,120.65655,28.00312,120.65388,3,154,0.0
1879,1947,-2.073508472,36.67107321,27.999526,120.680665,27.98803,120.67876,0,17,0.0
422,2842,6.25466631,37.66870082,28.00525,120.70299,27.98853,120.69743,-1,8,0.0
1159,1276,-2.760828136,-38.41145553,28.02791,120.59925,28.00066,120.58221,-1,0,0.0
312,2149,18.83779902,7.913152595,27.97483,120.67456,27.98472,120.69611,-1,52,0.0
1837,2567,-4.326640465,-18.34659474,27.98603,120.63754,27.992138,120.656444,-1,316,0.0
1081,2767,-15.9516884,41.72279699,27.997963,120.659738,28.00293,120.64916,3,72,0.0
2744,2801,-20.75042399,8.193486347,28.0132,120.654,28.01569,120.65545,3,0,0.0
446,2445,4.811985411,-49.79976796,27.98581,120.61459,27.992515,120.595201,6,226,0.0
531,2578,24.77750139,34.91497651,27.991394,120.71952,27.99188,120.71874,1,0,0.7850704839468577
1888,2187,64.82469205,11.52362955,27.89882,120.82105,27.89058,120.80958,7,30,0.0
1098,2352,-47.94660354,-28.43537756,28.0475,120.62333,28.048507,120.618708,2,163,0.0
234,1085,-30.35373955,-14.79539701,28.01828,120.62547,28.0257,120.6129,-1,36,199.06579864087547
361,1989,50.80839634,0.096153251,27.95277,120.79908,27.93336,120.81773,7,60,0.0
772,1357,-40.68615622,-35.06230486,28.05187,120.61117,28.05143,120.60047,2,397,0.0
1858,2021,32.71512226,-33.19740175,27.92336,120.69364,27.92043,120.68424,13,32,0.0
668,2092,-50.00607008,-5.121221733,28.0105,120.60976,28.0195,120.63455,-1,397,0.0
552,2803,35.00142446,24.71786967,27.96536,120.74141,27.96758,120.73351,5,28,0.0
1102,1871,11.26117094,-12.00106826,27.95246,120.64545,27.96874,120.65488,4,33,0.3187755551575848
283,2342,38.57356513,29.26264746,27.98338,120.744,27.96902,120.74658,5,59,0.0
1163,1315,35.17393392,-30.12465533,27.92297,120.68904,27.91937,120.7061,13,205,0.0
136,1988,-37.38169734,21.72563114,28.01434,120.65091,28.01854,120.63879,3,23,0.0
46,2743,-44.89130375,-24.43442825,28.04917,120.61056,28.049957,120.622963,2,58,0.0
