source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
1454,2110,-3.769797682,55.20902021,27.92271,120.7068,27.92408,120.70403,13,509,0
831,2428,-6.551352194,7.73435988,27.9762,120.668,27.98819,120.6531,4,60,0
574,1037,-3.43131942,52.99372342,27.93368,120.71241,27.9231,120.70471,13,70,0
643,1711,46.79335979,-22.80079757,28.04355,120.65147,28.06516,120.64246,2,28,0.382308845
1143,2016,-10.99892934,64.12205624,27.92288,120.70458,27.92264,120.70453,13,1329,0
55,1489,18.41115578,71.06506432,27.85781,120.66563,27.861,120.67971,15,838,0
1816,2445,22.76072856,24.37226178,27.9845,120.611,27.992515,120.595201,6,39,0
627,1938,11.03369759,-25.48650707,28.0494,120.66193,28.01832,120.65141,-1,4,0
1871,2089,-7.538236174,15.55191509,27.96874,120.65488,27.970224,120.651685,4,13125,0
45,1990,-6.270845012,-64.03685414,28.019513,120.658462,28.02045,120.65999,3,49,0
2661,2857,64.7302007,0.318772509,28.079828,120.589546,28.09805,120.59534,10,34,0
1549,2901,-49.59940892,-19.02343143,27.98966,120.70619,27.97339,120.7071,-1,54,0
1496,1794,-27.93287963,14.09519098,27.97767,120.70127,27.94302,120.67619,-1,29,0
556,1916,19.20422411,12.83594229,27.99014,120.62903,27.988443,120.627578,6,1205,0
214,452,24.14232064,-7.468494004,28.01125,120.625528,28.01066,120.62114,9,64,0
675,2357,4.396449033,68.01175926,27.91318,120.6689,27.92044,120.6689,13,3842,0
115,966,-49.20591541,29.74235926,27.94565,120.83188,27.918388,120.823666,7,58,0
858,1569,-18.14251707,-0.281605568,27.985,120.676,27.984146,120.678225,-1,73,0
1289,2136,4.025123805,-47.31994491,28.0114,120.65314,28.01201,120.65481,3,16,0
409,1099,-51.53932315,26.62206175,27.95855,120.75661,27.92578,120.79581,-1,660,0
1376,2142,-59.14721959,-12.34225316,27.99176,120.72451,27.98684,120.71242,1,273,0
1020,1248,-38.70862633,-27.64882705,28.00029,120.70357,28.002061,120.703124,1,72,0
2242,2860,56.42046704,-9.412004525,28.094722,120.645,28.0702,120.62208,10,214,0
1340,2373,0.315326837,2.654629373,27.99419,120.65338,27.99672,120.65264,3,451,0
17,2543,-13.7892924,7.897589462,27.97886,120.67718,27.978448,120.671401,4,11,0
2433,2801,-8.920392814,-59.41383205,28.02202,120.66394,28.01569,120.65545,3,84,0
1552,2124,-41.17535236,-11.917628,28.00524,120.72204,28.0048,120.764,1,6,0
1402,2621,-25.86416432,-49.0615793,28.014576,120.681581,28.01036,120.67777,-1,861,0
952,1651,-62.54815439,13.51277728,27.97169,120.76145,27.97707,120.74717,5,175,0
1536,2010,-18.34110315,-11.64530963,27.985,120.67851,27.99742,120.68104,0,0,0
895,2781,44.94189373,-49.37461038,28.03688,120.73858,28.04723,120.76804,-1,4,0
306,1194,-15.93446107,39.27115731,27.93177,120.67802,27.9573,120.67705,-1,19,0
76,460,-57.58499648,-17.65770081,27.99619,120.71034,27.996057,120.710262,1,1212,0
1686,1876,5.350514671,31.7030095,27.9581,120.59733,27.954186,120.587915,11,101,0
