source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
803,2642,40.42081189,-37.28019748,28.02715,120.65114,28.03965,120.64593,2,653,0
1660,2966,-47.45304295,49.47104618,27.91134,120.80988,27.90319,120.81717,7,5607,0
1443,2355,-16.19382163,-54.25869093,28.02212,120.67074,28.02099,120.66672,3,40,0
1159,2116,48.10551095,0.04474201,28.02791,120.59925,28.04925,120.60197,-1,107,0
442,2835,-36.99612086,31.34572103,27.92124,120.83163,27.94411,120.78597,7,11,0
1749,2970,28.48537669,42.81402712,27.97581,120.57281,27.9567,120.57364,-1,306,0
646,2113,-4.731228125,-26.57296716,28.02101,120.67872,28.016667,120.67753,3,3,0
2651,2894,-6.269365043,-35.19522519,28.0228,120.67335,28.01941,120.67004,3,38,0
709,1709,-59.22359933,13.13999295,27.97153,120.73361,27.97034,120.76311,5,46,0
556,1673,11.26902168,4.334201696,27.99014,120.62903,28.00217,120.64577,-1,5,0
803,1689,22.1555992,-47.55936353,28.02715,120.65114,28.02095,120.64389,-1,234,0
57,691,25.76700926,1.508950891,28.00954,120.61511,28.05782,120.58736,-1,0,0
475,515,14.725369,38.19623374,27.98226,120.62389,27.96781,120.62801,6,219,0
415,2323,21.54814789,-53.21850346,28.01975,120.65219,28.02463,120.6447,-1,217,0
2099,2190,-21.86849206,-4.068462423,27.99084,120.68506,27.98235,120.67423,-1,101,0
975,1515,0.553159679,-15.26956592,28.00397,120.67029,28.01034,120.65781,3,9,0
45,1082,-5.970792898,-63.7090341,28.019513,120.658462,28.016688,120.655528,3,244,0
1222,2966,-40.21059592,45.01266836,27.90261,120.81692,27.90319,120.81717,7,386,0
1112,2197,62.07101742,-22.63204802,28.05274,120.62436,28.04449,120.62163,2,1195,0
111,454,-2.37244255,19.2086351,27.95612,120.65155,27.98,120.66708,4,2,0
1574,1911,-58.70980123,-4.793627305,27.980622,120.731705,27.97773,120.72673,-1,129,0
599,1699,-36.46193956,8.016011793,27.97321,120.72684,27.97659,120.67899,-1,16,0
285,1129,-36.79719586,37.07445479,27.90175,120.80936,27.91593,120.8267,7,2,0
1302,2796,-43.66937329,20.02077821,27.96848,120.78369,27.97189,120.75195,-1,0,99.78193727
846,2408,-54.95970885,14.37004611,28.00453,120.74869,27.97638,120.75557,-1,119,0
669,1269,20.38989558,-8.334531882,28.01255,120.63174,28.00799,120.62655,9,149,0
1717,2790,27.71577596,28.23511018,27.99375,120.61713,27.99273,120.60679,6,1392,0
117,1399,39.98030337,-0.099648599,28.026108,120.592702,28.024487,120.608733,8,25,0
2519,2750,-41.43417907,-31.89454659,27.99715,120.70087,28.00455,120.70115,1,328,0
389,1152,3.755641857,-42.82952756,28.01058,120.62116,28.013647,120.656985,-1,0,0
116,1832,-82.95110953,-3.762101174,28.06043,120.80995,28.08885,120.80824,14,237,0
152,819,-47.28148241,32.54435588,27.91139,120.82389,27.91736,120.79806,7,52,0
1747,1874,-49.81819851,1.697514379,27.978667,120.735061,27.98621,120.73466,5,61,0
244,1309,25.86670236,9.363011976,28.08021,120.69711,28.0834,120.6882,16,9256,0
1509,2171,-46.57615478,38.19417019,27.9249,120.82617,27.91955,120.83809,7,236,0
1195,2881,-37.81044905,-13.76334833,28.008888,120.709166,28.00606,120.714808,1,46,0
54,387,39.7110034,2.329423294,28.018598,120.620672,28.0246,120.58292,-1,10,130.8424259
1105,2323,13.11877742,-19.78188798,28.00791,120.64843,28.02463,120.6447,-1,2,0
836,2150,44.55185408,3.218025406,28.02242,120.60801,27.99711,120.58895,-1,66,0
1284,2418,-16.29317686,41.65198662,27.94439,120.71319,27.93672,120.67951,-1,58,0
387,2697,51.04596471,19.63388238,28.0246,120.58292,28.02837,120.58877,12,81,0
15,2788,14.82090577,8.297732198,27.97664,120.63227,27.96243,120.65546,-1,23,0
1385,1711,49.73584094,-23.29959744,28.05153,120.62762,28.06516,120.64246,2,61,0
546,1391,6.059676132,58.26855541,27.92076,120.68433,27.95467,120.69939,-1,26,0
88,2792,-0.949490695,-30.42752564,28.02363,120.66334,28.02302,120.66759,3,84,0
1506,1839,-71.28556991,-0.934964744,28.02799,120.66168,27.97706,120.75192,-1,5,0
1351,2784,62.94819036,-27.85003894,28.04387,120.63355,28.05184,120.61542,2,2942,0
981,1489,15.20434346,65.9048679,27.89495,120.67037,27.861,120.67971,15,44,0
2176,2481,-6.301720793,28.17007429,27.95843,120.65338,27.97265,120.66766,4,200,0
2002,2684,78.45354105,8.800621152,28.08602,120.54798,28.09082,120.54809,10,6539,0
1481,2531,9.391210468,9.479756492,27.96111,120.6227,27.99591,120.64416,-1,0,0
1286,1862,11.60050286,-56.14527704,28.01117,120.65006,28.01287,120.64928,3,1013,0
979,1073,46.8661519,8.444787425,28.02921,120.59331,28.03098,120.59308,12,8,0
343,698,51.58175607,-12.5938061,28.03943,120.62365,28.07126,120.60869,-1,131,0.791398882
705,2703,14.25314353,5.372036318,28.00227,120.63088,27.99103,120.63464,-1,28,0
2124,2538,-71.20406985,5.289318517,28.0048,120.764,28.00886,120.77826,-1,277,0
1723,2514,-5.516559137,-23.51328587,28.01437,120.67295,28.01474,120.67909,3,17,4.792274658
1576,2319,20.60133901,32.51121019,27.970529,120.613192,27.97631,120.60491,6,575,0
1535,1555,45.94529484,-30.68692666,28.03768,120.63277,28.043798,120.657967,2,0,0
487,2373,-3.468892331,-3.151722126,27.98776,120.67428,27.99672,120.65264,-1,17,0
500,2241,-39.06756037,-9.147112121,27.99978,120.7112,27.98751,120.72346,1,9,0.198440627
1792,1921,16.68570168,13.23674409,27.985149,120.627224,27.985876,120.627305,6,153,0
178,1319,7.463744073,-47.92529044,28.01444,120.65108,28.01152,120.65068,3,146,0
299,2793,-55.76096523,-3.082186531,27.968888,120.725833,27.96841,120.73048,5,864,0
143,2890,47.12462245,-35.7869796,28.04546,120.65895,28.02424,120.6348,-1,38,0
1302,2305,-50.85019348,15.24590087,27.96848,120.78369,27.98543,120.73922,-1,32,0
501,727,-33.80987641,-36.30547055,28.004176,120.686025,28.00933,120.69355,-1,71,0
1962,2497,-13.25720059,44.46444548,27.89658,120.7334,27.92371,120.73494,13,544,0
90,2430,-45.68137589,23.26092105,27.96939,120.78179,27.96011,120.81628,7,302,0
573,1936,-6.63309556,-45.39271805,28.014374,120.672952,28.0164,120.657,3,33,0
1767,2229,1.880285872,-3.288134202,27.97914,120.65482,27.99852,120.65649,-1,76,0
1007,2612,-22.15584116,8.787194915,27.96558,120.68672,27.97238,120.685041,4,44,0
359,954,2.522638138,-24.43006015,28.0113,120.6614,28.018214,120.672196,3,13,104.0930217
448,1424,42.63526892,24.81600917,28.024644,120.599644,28.02108,120.60101,8,9424,0
448,2509,37.98324046,24.06018984,28.024644,120.599644,28.02225,120.60442,8,1371,0
1439,2885,-47.2065064,-15.16696914,28.005515,120.719495,27.99535,120.71624,1,81,0
293,1798,25.12227889,-19.67876892,28.02476,120.635142,28.02324,120.63639,3,38,0
1080,1454,1.954923631,48.87086129,27.92057,120.7039,27.92271,120.7068,13,54,0
943,2061,-16.38441764,-6.49034316,27.98369,120.71502,27.98839,120.68338,-1,13,0
329,675,13.46340738,69.6008458,27.86838,120.6556,27.91318,120.6689,-1,4,0
878,2540,-36.23070198,-32.59625592,28.000355,120.697765,27.991878,120.694119,-1,20,0
331,510,50.44661597,-2.839732258,28.03958,120.62042,28.04567,120.60077,-1,6,0
439,1736,15.50216981,-25.06578623,28.02332,120.64816,28.029592,120.6244,-1,2,0
1436,1769,-32.88054343,-8.401656369,27.996111,120.710277,27.998722,120.707177,1,53,0
57,1572,37.52353299,4.543212407,28.00954,120.61511,28.02693,120.60664,-1,70,0
47,2074,-46.13008009,14.11943106,27.97433,120.75967,27.986124,120.709577,-1,4,0
874,1058,49.74328549,-34.54621844,28.04411,120.64767,28.04752,120.63044,2,536,0
559,2335,17.58033162,66.30518591,27.858601,120.664025,27.86624,120.66547,15,234,0
976,2450,50.15632439,-25.70363635,28.044851,120.648285,28.04901,120.63968,2,62,0
378,2408,-53.87553661,16.0928642,27.96458,120.79525,27.97638,120.75557,-1,0,0
942,1543,-85.79117004,1.779699558,28.021266,120.794656,28.03307,120.79284,14,2863,0
1999,2353,-0.456094697,40.68551372,27.91395,120.70028,27.973777,120.682079,-1,11,0
120,182,33.45351865,2.274842497,28.0183,120.607999,28.01939,120.61656,8,8,0
604,1708,38.0084186,16.98919545,28.015777,120.594444,28.02381,120.59717,8,111,0
159,909,-10.64667396,23.49379015,27.94833,120.66804,27.95992,120.64877,4,69,0
2426,2899,10.43326646,-27.14677493,28.0241,120.647393,28.02802,120.65472,-1,2,0.528440684
698,2513,56.75017472,-7.814490982,28.07126,120.60869,28.060569,120.603702,-1,38,0
1603,2970,4.606234455,32.34752107,27.94403,120.59556,27.9567,120.57364,11,20,0
1625,1849,-34.57454098,41.65973117,27.91671,120.81301,27.89831,120.81286,7,51,0
702,912,-43.54310155,3.088236584,27.94104,120.72061,27.98324,120.72334,-1,7,0
269,2226,-56.59724736,31.75694406,27.96807,120.80604,27.95539,120.82859,7,301,0
26,2298,7.202005584,70.44641997,27.91714,120.66023,27.92952,120.68107,-1,1396,0
160,2519,-34.41666619,1.136846543,27.97864,120.71467,27.99715,120.70087,1,56,0
502,1262,-7.901509492,9.391977823,27.975415,120.651576,27.98453,120.66027,4,176,0
489,935,-17.5850047,-2.739457189,27.99167,120.67799,27.97987,120.68111,0,5,0
224,2073,-0.472270701,-23.17027383,28.01492,120.66976,28.01371,120.66619,3,40,0
1806,1956,-58.33050053,16.59531208,27.971111,120.759166,27.96946,120.72066,5,45,0
1053,1800,-44.96187177,-0.93264714,27.99068,120.7167,27.987621,120.722773,1,59,0
111,1698,-5.057610029,26.99680222,27.95612,120.65155,27.95861,120.665556,4,169,0
284,2159,-13.08589256,51.65542182,27.92764,120.69437,27.9283,120.69546,13,5662,0
109,1008,57.20309083,-11.49079523,28.03316,120.59087,28.06212,120.60705,-1,11,0
194,2080,-14.44093947,-14.30084858,28.0005,120.67726,27.994449,120.671107,0,29,0
1068,2687,-32.15223655,-21.94332821,28.04759,120.69334,28.0443,120.70804,1,27,0
57,2198,22.12682244,-9.496553668,28.00954,120.61511,28.01139,120.622331,9,253,0
234,1033,19.96764592,-10.41083256,28.01828,120.62547,28.007951,120.626328,9,143,0
77,2448,8.891010072,-12.05542985,28.00743,120.64853,28.006623,120.64479,3,49,0
673,961,62.82983194,-4.634991988,28.05464,120.60495,28.06451,120.58223,-1,25,0
972,2392,-13.61628672,21.50041654,27.94366,120.68317,28.00878,120.68835,-1,0,0
1373,2801,-5.856686488,-53.92321331,28.01793,120.66445,28.01569,120.65545,3,105,0
1624,1717,19.22137568,37.17762711,27.971715,120.608414,27.99375,120.61713,6,140,0
594,2236,-17.79734289,-32.70234881,27.99348,120.67357,27.9946,120.674,0,284,0
1590,2175,45.50346256,5.634787885,28.02239,120.59436,28.025465,120.585303,-1,2,0
394,2938,46.62255818,22.30547024,28.029211,120.593311,28.02158,120.59654,8,398,0
709,1519,-49.30273126,9.753043472,27.97153,120.73361,27.97433,120.75966,5,131,0
449,708,-14.44243435,59.98271511,27.93173,120.70133,27.9343,120.7072,13,7737,0
176,924,38.82031754,-31.79242669,28.02521,120.6105,28.03883,120.63972,-1,20,0
825,1483,-35.02819327,-1.008067416,27.98567,120.70701,27.9897,120.71206,1,0,0
1624,1837,19.04725161,35.81298522,27.971715,120.608414,27.98603,120.63754,6,140,0
2357,2447,8.595641039,59.89858075,27.92044,120.6689,27.907332,120.673448,13,107,0
487,2003,-21.97847873,-35.79959961,27.98776,120.67428,28.00191,120.67862,0,51,0
1140,1512,57.38707697,10.2951077,28.04193,120.57698,28.04225,120.58748,12,96,0
389,2049,26.31366216,-8.153607994,28.01058,120.62116,28.01711,120.63167,9,16,0
73,490,20.75553385,-5.365257176,28.01003,120.63314,28.00307,120.6298,3,7,0
3,2568,58.86442807,18.50890111,28.03927,120.5877,28.04901,120.58582,12,4911,0
