source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
1215,2059,4.62493947,-46.69296792,27.98702,120.60848,27.987233,120.614505,8,1271,0
923,2151,-42.48850916,-26.78292301,28.06101,120.62576,28.06452,120.61682,-1,46,0
817,2605,-9.269502449,-41.5598483,28.02382,120.58085,28.024882,120.580737,9,55,0
1415,1452,-24.94890534,4.483853989,28.01447,120.64201,28.01491,120.64805,3,113,0
2160,2366,41.27349238,19.45092116,27.9668,120.7548,27.97973,120.67677,-1,4,0
1294,1547,-40.3532053,-45.94657158,28.06952,120.58518,28.07752,120.5896,9,81,0
1239,2234,32.68694504,-44.34814129,27.87124,120.64996,27.8815,120.63331,3,42,0
943,2756,21.06515108,23.98968659,27.98369,120.71502,27.98645,120.68772,-1,20,0
259,1759,-15.5498407,31.7998337,28.05022,120.66531,28.018481,120.682668,-1,59,0
2746,2847,-19.77796211,-46.52150524,28.03863,120.61579,28.041041,120.588459,-1,0,0
25,534,28.62477023,-15.71643213,27.976204,120.667973,27.93767,120.66978,5,2,0
643,745,-67.53274669,5.75080958,28.04355,120.65147,28.04541,120.65027,7,7909,0
906,1308,12.27930792,17.28196281,28.01211,120.69386,27.98404,120.68203,-1,41,0
513,676,36.17899804,-36.22954312,27.921152,120.682999,27.92115,120.683,3,145,0
1112,1501,-56.41567837,-31.79302494,28.05274,120.62436,28.05557,120.61784,7,3968,0
112,700,-14.50075878,-22.02362963,28.01472,120.61007,28.01302,120.61638,-1,43,0
213,2092,-51.03738171,-4.738529342,28.01009,120.63564,28.0195,120.63455,3,341,0
865,2453,-46.96203576,-38.91172424,28.0464,120.604,28.04644,120.60417,7,40297,0
1398,1535,-36.16746815,-26.56682005,28.02438,120.60303,28.03768,120.63277,-1,45,0
285,1660,69.35740439,0.347946155,27.90175,120.80936,27.91134,120.80988,6,630,0
1035,2351,19.19776802,-39.47417585,27.95025,120.60263,27.95215,120.60432,10,3705,0
828,2149,16.46568312,2.337030386,27.96168,120.677789,27.98472,120.69611,-1,27,0
1306,2431,-15.61258492,-6.798555609,27.99383,120.62833,28.0053,120.633,-1,189,0
696,1624,6.874457304,-34.01435257,27.960958,120.569257,27.971715,120.608414,-1,4,0
1950,2944,26.17614747,30.86661542,27.99139,120.71952,27.99929,120.722247,7,43,0
1494,2009,-61.82103351,-14.21251232,28.04977,120.64759,28.04976,120.647462,7,19926,0
457,633,11.7008741,46.7084163,28.01851,120.70462,27.98491,120.70392,-1,4,0
1230,1329,-52.6096008,17.45745895,28.02816,120.65689,28.02655,120.65947,7,242,0
1094,1900,-32.15768013,-50.2923204,28.01845,120.59962,28.06605,120.58485,-1,54,133.4416334
468,1899,-41.81208324,-31.84952946,28.02464,120.59155,28.06248,120.60338,-1,0,0
955,1828,-63.24696343,3.683283744,28.04133,120.65311,28.039716,120.651201,7,2790,0
1084,1896,-37.38862276,-51.42225606,28.09096,120.5847,28.10296,120.57827,9,141,0
803,1286,-31.78505587,10.4620738,28.02715,120.65114,28.01117,120.65006,-1,4,0
73,1416,-23.28835424,-6.452451292,28.01003,120.63314,28.01137,120.64581,3,15,0.23347628
609,2450,-43.35259897,-18.20486355,28.02096,120.62016,28.04901,120.63968,-1,3,0
585,2010,4.983251422,25.81906973,28.00115,120.70215,27.99742,120.68104,-1,8,0
611,2909,71.22335662,17.96604892,27.867358,120.820794,27.86513,120.81613,6,297,0
500,2662,25.07952833,54.5475544,27.99978,120.7112,27.9944,120.7017,-1,9,0
1166,2096,6.311023466,-42.42169339,27.95794,120.60138,27.97745,120.61375,-1,50,0
1089,1159,-21.95477693,-42.42940282,28.02804,120.57818,28.02791,120.59925,-1,392,0
522,2185,15.01502881,-44.17288779,27.95536,120.60011,27.97251,120.60263,-1,209,0
913,1515,-37.92113201,33.60479762,28.01042,120.65885,28.01034,120.65781,3,489,0
115,1740,54.26582669,-8.545334816,27.94565,120.83188,27.9275,120.83694,6,46,0
695,1737,-22.45492556,-58.66469573,28.054694,120.586916,28.03968,120.57291,9,37,0
2142,2149,17.20981588,22.81562201,27.98684,120.71242,27.98472,120.69611,-1,44,0
906,1449,4.677382067,62.15073647,28.01211,120.69386,28.01592,120.69364,7,6444,0
1622,2841,2.968266269,32.38660374,28.00126,120.6875,28.000286,120.70749,-1,82,0.311406031
187,1562,3.58674875,-55.72004577,27.99929,120.57877,27.99767,120.57531,8,99,0
41,1624,8.173636487,-45.75253622,27.95746,120.61208,27.971715,120.608414,-1,1125,0
1110,1753,25.1474764,-10.04647925,27.946867,120.69923,27.96526,120.65283,5,9,0
335,1895,22.50129326,-7.714200475,27.93483,120.66784,27.96905,120.70307,-1,35,0
284,623,32.68039305,-9.292415114,27.92764,120.69437,27.94373,120.68649,-1,196,0
315,2002,-36.63643252,-64.14660513,28.09085,120.54804,28.08602,120.54798,9,8895,0
556,2263,-32.01602684,33.66220914,27.99014,120.62903,28.00726,120.65848,-1,66,0
300,1511,36.76712136,23.73697381,27.9685,120.75992,27.97302,120.73654,10,5,68.66893069
382,644,-39.06032393,38.10007221,28.01967,120.6623,28.01278,120.65944,3,288,0
1433,2703,-33.71352855,16.96567247,28.015196,120.648057,27.99103,120.63464,-1,7,0
2366,2908,12.49258818,15.33877324,27.97973,120.67677,27.98585,120.6777,-1,21,0
2496,2757,53.99740194,-11.53425247,27.94412,120.76969,27.95417,120.82421,-1,19,0
1455,2415,-39.53827703,-14.83496704,28.03905,120.62757,28.02,120.655,-1,17,0.179289161
2324,2722,70.89588309,14.77740888,27.8722,120.8266,27.8763,120.821,6,172,0
1391,1699,16.1412455,8.341132407,27.95467,120.69939,27.97659,120.67899,-1,96,0
1687,2968,-25.00919646,10.35764952,28.0134,120.65344,28.02802,120.6546,-1,2,0
2353,2533,1.813031539,42.29155137,27.973777,120.682079,27.98533,120.68503,-1,109,0
1572,1940,-43.92433728,-36.7928771,28.02693,120.60664,28.05756,120.60725,-1,90,0
1015,2453,-38.09064012,-36.69306305,28.02245,120.61239,28.04644,120.60417,-1,130,0
522,2445,3.748094806,-48.99752702,27.95536,120.60011,27.992515,120.595201,-1,72,0
705,2788,0.054997264,-14.4161799,28.00227,120.63088,27.96243,120.65546,-1,2,184.4181433
515,1956,34.7506554,5.806477356,27.96781,120.62801,27.96946,120.72066,-1,6,0
309,515,19.01197633,-42.39318704,27.95804,120.59516,27.96781,120.62801,-1,35,0
2422,2793,55.02220167,-0.731118446,27.93079,120.82979,27.96841,120.73048,-1,10,0
1,2301,46.2435979,10.37918619,27.97014,120.75603,27.97211,120.77582,10,95,0
239,655,-67.39513114,17.79463261,28.03887,120.7934,28.03962,120.71918,-1,5,0
486,1942,39.70127721,26.25817553,27.97508,120.74612,27.97292,120.74185,10,4,0
1506,1742,6.465580574,47.2669688,28.02799,120.66168,28.010383,120.6909,7,0,0
916,1648,-38.73164066,32.44479609,28.01381,120.65692,28.01215,120.65684,3,752,0
14,2507,-26.40519014,37.14255177,28.02496,120.66541,28.02519,120.66642,3,9854,0
956,1394,-1.447630889,20.80277946,27.97159,120.65547,27.99572,120.672658,-1,9,0
1112,1385,-58.65240048,-21.66037425,28.05274,120.62436,28.05153,120.62762,7,8978,0
629,646,-48.47054979,-12.8138132,28.0608,120.676028,28.02101,120.67872,-1,80,0
1420,1660,55.71778041,5.961592603,27.930444,120.818555,27.91134,120.80988,6,11,0
42,925,-7.132550654,15.40374456,28.0014,120.65569,28.00554,120.66603,3,146,0
1878,2864,40.58775203,17.04224486,27.97253,120.76819,27.9665,120.76112,10,77,0
1401,2717,-34.61062963,8.666880141,28.01999,120.65209,28.024111,120.656361,3,47,0
213,1372,-22.30569541,-3.428054751,28.01009,120.63564,28.00994,120.63606,3,81,0
341,1673,-4.358516714,-13.78562441,27.98975,120.64468,28.00217,120.64577,-1,32,0
1825,1972,-64.69683677,21.86667485,28.09639,120.65778,28.088679,120.680149,1,109,0
269,2154,36.12741611,19.94399058,27.96807,120.80604,27.96748,120.75293,-1,2,0
2462,2788,19.1082512,-15.92236303,27.93855,120.64822,27.96243,120.65546,5,281,0
111,2901,13.19110985,-10.42591891,27.95612,120.65155,27.97339,120.7071,-1,3,0.256991471
170,574,36.48020959,-21.65180442,27.92087,120.70636,27.93368,120.71241,3,34,0
1103,2089,4.50861217,-14.14967706,27.97694,120.62826,27.970224,120.651685,-1,20,0
1470,2842,16.67726777,4.186612125,27.97225,120.68006,27.98853,120.69743,-1,0,0.193626225
69,1940,-46.64166323,-41.44965881,28.055285,120.609474,28.05756,120.60725,7,5074,0
96,2405,2.185025279,-1.888325785,27.96572,120.68191,27.96984,120.68551,5,8,0
615,1081,-15.03243709,43.82263854,27.99109,120.67677,27.997963,120.659738,-1,125,0
1052,1194,20.94701396,-7.156412062,27.97486,120.72843,27.9573,120.67705,-1,5,0
565,1152,-30.66805148,20.76265312,28.00841,120.66454,28.013647,120.656985,3,80,197.9512892
574,1391,36.75017911,-9.451856404,27.93368,120.71241,27.95467,120.69939,-1,176,0
556,1005,-11.0628332,8.920806075,27.99014,120.62903,28.00628,120.65332,-1,15,0
1601,2037,53.44248397,-5.192011936,27.94796,120.8414,27.9208,120.84047,6,44,0
883,2305,40.04174696,44.4115966,27.99238,120.73064,27.98543,120.73922,-1,358,0
409,1989,60.72847214,-4.412389383,27.95855,120.75661,27.93336,120.81773,-1,369,0
553,2129,-6.169028019,9.96208583,27.999,120.66,27.98951,120.64774,-1,7,0
1199,2751,-15.43603602,50.69252155,28.009766,120.667542,28.01002,120.66745,3,141,0
26,2405,28.78603708,-40.62297524,27.91714,120.66023,27.96984,120.68551,-1,8,0
366,2433,-16.06214065,22.77071708,28.026431,120.658121,28.02202,120.66394,-1,8,0
259,2804,10.27979634,65.31006547,28.05022,120.66531,28.02126,120.68452,7,68,0
359,1156,-27.68313193,27.47830492,28.0113,120.6614,28.01027,120.66077,3,172,0
2757,2913,52.35162498,-6.778083575,27.95417,120.82421,27.92081,120.81459,6,80,0
331,2515,-39.29970299,-23.98051002,28.03958,120.62042,28.06853,120.60201,-1,68,0
422,1677,13.96413946,40.07850777,28.00525,120.70299,28.00307,120.70595,7,18,2779
208,1552,22.08171157,57.07398199,28.00568,120.7226,28.00524,120.72204,7,1184,0
845,1138,-30.88249483,-54.7486453,28.06506,120.57549,28.05708,120.58299,9,14,0
703,2445,3.181481282,-51.40749929,27.99417,120.59982,27.992515,120.595201,8,15827,0
1070,1571,43.4139088,16.62444582,27.97374,120.7589,27.97334,120.75738,10,156,0
292,1428,-39.37025421,9.092244375,28.02857,120.65898,28.02259,120.62662,7,35,0.26639306
1691,1946,-24.28450177,23.64851987,28.01519,120.66268,28.015216,120.662524,3,122,0
394,2453,-17.97269973,-38.29061348,28.029211,120.593311,28.04644,120.60417,-1,6,0
1082,1587,-25.72674621,8.348086339,28.016688,120.655528,28.00917,120.64028,3,11,0
259,2535,-12.3205147,29.23231119,28.05022,120.66531,28.01377,120.68309,-1,2,0
663,2227,6.482745826,2.384091563,27.97693,120.66377,27.98375,120.66578,-1,162,0
656,1901,-2.18838363,-39.78241035,27.96161,120.59217,28.00515,120.56955,-1,23,0
659,1885,11.83636499,-26.84290823,27.98025,120.58452,27.96887,120.61609,8,25,120.0327736
464,1123,15.07339867,-20.89419817,27.9659,120.64111,27.96552,120.64757,-1,1156,0
911,2757,51.86911185,-4.348806737,27.96141,120.73461,27.95417,120.82421,-1,3,241.6352235
767,2890,-59.2576298,3.119296942,28.03954,120.64044,28.02424,120.6348,-1,60,0
720,1504,34.24275615,29.93873611,27.97976,120.74186,27.987372,120.734892,10,8,0
178,556,-36.95484377,26.54724839,28.01444,120.65108,27.99014,120.62903,-1,15,0
860,2890,-60.60366765,-1.468935173,28.03044,120.64309,28.02424,120.6348,-1,324,0
417,1446,13.59637499,-32.56179232,27.95978,120.59707,27.98015,120.60519,-1,5,0
1104,1991,-8.329522026,46.96877955,27.99923,120.67458,28.00104,120.67237,-1,852,0
1116,1706,35.63104453,-23.1889937,27.92366,120.70449,27.9208,120.70586,3,19,114.0629105
2359,2815,6.755911859,57.34233075,28.00191,120.70463,28.00165,120.70452,7,238,0
1711,2197,-54.3287033,-17.94053453,28.06516,120.64246,28.04449,120.62163,7,97,0
412,1602,30.91623826,-35.74809222,27.91108,120.67813,27.91457,120.70609,3,0,0
1747,2802,44.69343408,36.72742028,27.978667,120.735061,27.98055,120.72944,10,8633,0
1159,1455,-30.81155672,-34.61072748,28.02791,120.59925,28.03905,120.62757,-1,19,0
761,2426,-38.68886253,2.591097142,28.02569,120.64175,28.0241,120.647393,-1,94,0
1005,2936,-34.19198146,32.38521055,28.00628,120.65332,28.00577,120.65343,3,608,0
