source,target,x,y,slat,slng,tlat,tlng,label,fre
229,347,41.300277394336234,-20.043176252931733,41.943739,-87.66402,41.950687,-87.6687,1,564
85,90,56.453831058835654,28.775809030104046,41.90096039,-87.62377664,41.8810317,-87.62408432,0,6195
35,45,39.662543426492086,-6.819362825419298,41.892278,-87.612043,41.876243,-87.624426,1,227
196,223,51.606150847397096,-15.711258126508863,41.890573,-87.622072,41.918216,-87.656936,1,1565
36,414,44.96389759200689,19.620752635961352,41.877707956,-87.635321141,41.870257,-87.639474,-1,38
6,76,47.32185941308249,0.8051504737070437,41.885041992,-87.612794539,41.880958,-87.616743,1,377
90,287,49.00772289709432,-5.405161977995497,41.8810317,-87.62408432,41.880317,-87.635185,1,584
210,333,51.17893434165748,-6.946673245550229,41.90345,-87.667747,41.907066,-87.667252,1,544
114,231,41.21884909785718,-4.96780765048186,41.949399,-87.654529,41.96167,-87.65464,1,209
231,312,53.63255325982574,-9.292816841292609,41.96167,-87.65464,41.957879,-87.649519,1,749
254,303,32.72993288720821,-18.565003559488368,41.954383,-87.648043,41.945512,-87.64598,1,467
84,92,-3.1302746752555946,-51.28211330306493,41.891,-87.645925,41.894556,-87.653449,5,57
28,49,33.201525755818196,-22.614512135400503,41.91468,-87.64332,41.881319815,-87.629520919,1,718
118,198,54.354924957601334,15.422286550521486,41.911386,-87.638677,41.881892,-87.648789,0,584
344,462,54.82447937550857,15.264867752591947,41.96909,-87.674237,41.979770217,-87.675814728,0,2227
156,225,55.01238488545701,16.344184139791146,41.936496822,-87.647538658,41.919936,-87.64883,-1,333
141,346,12.280239670216243,-53.35926091279627,41.915689,-87.6346,41.88283,-87.661206,5,922
111,329,25.834256316577097,-25.934738066301062,41.894666,-87.638437,41.932684,-87.63625,5,114
240,318,25.346667000735057,-22.02593960675887,41.954245,-87.654406,41.954177,-87.664358,-1,93
56,75,39.185362642457704,-35.56220642190223,41.888716036,-87.644447853,41.878412,-87.641052,4,276
39,50,44.46675366847322,-11.181170316195436,41.879472352,-87.625688606,41.875932666,-87.630584536,-1,187
28,239,36.67033995683272,-5.688625591719759,41.91468,-87.64332,41.966555,-87.688487,1,149
322,420,54.13178887542237,-10.328963632150636,41.799568,-87.594747,41.794300621,-87.601449773,1,811
26,43,1.1686035475006875,23.958915637825335,41.89102,-87.6173,41.883892766,-87.624649141,-1,12
76,255,40.16696022480671,-28.273115507938883,41.880958,-87.616743,41.867888,-87.623041,-1,366
71,191,17.525416025195934,-35.99894129145071,41.885483308,-87.652304856,41.880884,-87.639525,5,89
71,91,44.2960523992423,47.25073822493527,41.885483308,-87.652304856,41.88338,-87.64117,2,1495
35,81,-17.898769519846336,0.5719275990531895,41.892278,-87.612043,41.884241,-87.629634,-1,14
26,52,16.05153629853452,-53.650285185694806,41.89102,-87.6173,41.886024,-87.624117,0,2386
38,175,42.29158076891498,3.218389098253405,41.886020828,-87.630876058,41.872373,-87.633523,1,102
94,268,30.402860433639884,-2.9644577107819234,41.918306,-87.636282,41.911722,-87.626804,-1,59
94,181,9.460590409788075,-6.978741026126573,41.918306,-87.636282,41.890749,-87.63206,-1,31
25,99,50.41574066165927,9.408232312369751,41.89766,-87.62351,41.89257,-87.614492,0,2204
26,56,41.32235878622006,-20.28420668083292,41.89102,-87.6173,41.888716036,-87.644447853,1,515
125,301,23.244182164416824,-12.123804265457588,41.890011,-87.626293,41.907993,-87.631501,-1,37
329,454,29.131640188961928,4.321269693377787,41.932684,-87.63625,41.994779688,-87.660284535,1,74
344,460,37.963331461870645,-8.784630032029334,41.96909,-87.674237,41.983593,-87.669154,1,397
81,110,24.339334023625575,-4.341880111068558,41.884241,-87.629634,41.893992,-87.629318,-1,51
268,341,52.186434380074864,-23.747339182357756,41.911722,-87.626804,41.866095,-87.607267,1,647
18,214,11.668856639267082,-43.82633174754189,41.883271593,-87.637313287,41.89122,-87.67686,-1,92
91,195,3.2139274834467013,37.45865303563898,41.88338,-87.64117,41.884728,-87.619521,-1,6
287,364,40.43614437959243,-18.355937849172243,41.880317,-87.635185,41.900219493,-87.642985468,1,563
206,209,9.476532505102128,-49.536259430565686,41.847203,-87.646795,41.849527,-87.640591,5,173
147,148,36.873588795615696,20.02059240644703,41.845435,-87.622176,41.834734,-87.625813,-1,58
199,283,15.417621334053585,-27.69244715840642,41.891738,-87.626937,41.87817,-87.631985,0,893
247,248,48.58845245440407,-6.0042847456582695,41.795212,-87.580715,41.795264,-87.596471,1,330
111,212,37.94663470185443,-16.562554698570946,41.894666,-87.638437,41.892154,-87.636928,-1,332
69,261,50.5543759716886,23.179011833698606,41.909396006,-87.677691929,41.871514,-87.669886,3,267
33,147,43.16472822193169,24.60880963012133,41.877181,-87.627844,41.845435,-87.622176,-1,40
133,174,55.13453177965224,-7.33719863824273,41.889176833,-87.638505772,41.882091,-87.639833,-1,495
94,182,34.644127999535975,5.5179165947539985,41.918306,-87.636282,41.903222,-87.634324,-1,69
174,346,41.73776174709412,45.9730098991012,41.882091,-87.639833,41.88283,-87.661206,2,155
37,273,23.599666186049888,-23.35912382139556,41.879356359,-87.629791036,41.857813,-87.62455,-1,72
50,144,27.002967097539326,-29.445271768287622,41.875932666,-87.630584536,41.921822,-87.64414,5,235
50,197,2.557256726468109,16.00170592128196,41.875932666,-87.630584536,41.882134,-87.625125,-1,8
45,195,38.03927996932078,-38.870255628803186,41.876243,-87.624426,41.884728,-87.619521,4,890
296,302,50.16910335460653,-9.64505645289554,41.940106,-87.645451,41.928712,-87.653833,1,532
13,13,41.30472088383852,-19.91515954842617,41.932418,-87.652705,41.932418,-87.652705,1,323
174,212,36.70796341579421,-19.366444593311837,41.882091,-87.639833,41.892154,-87.636928,1,1011
149,423,49.406875793177655,22.90943377551399,41.8349,-87.61793,41.791478,-87.599861,3,86
24,173,48.129087708130896,1.3845273124894488,41.89186,-87.62062,41.89691,-87.621743,1,627
56,186,45.016214023081766,-13.689754778795008,41.888716036,-87.644447853,41.891795,-87.658751,1,252
43,76,50.9226007311438,11.260830642208763,41.883892766,-87.624649141,41.880958,-87.616743,-1,723
219,505,26.670822265985866,-13.131443608497646,41.916027,-87.677411,41.92409085,-87.676460075,-1,44
225,268,26.737030018176707,-29.582740781222256,41.919936,-87.64883,41.911722,-87.626804,5,295
37,68,51.77602573246394,22.4279448797338,41.879356359,-87.629791036,41.875885,-87.640795,-1,395
21,38,-4.771617277324515,-59.48112472687302,41.87772613,-87.65478743,41.886020828,-87.630876058,5,410
31,359,38.37253306099642,-36.635403165650516,41.896776,-87.635633,41.90348607,-87.643353494,4,222
69,177,23.419625152012312,-5.588954453588889,41.909396006,-87.677691929,41.926277,-87.630834,-1,53
331,359,38.96405839396123,-35.74497888908149,41.908537,-87.648627,41.90348607,-87.643353494,4,273
