source,target,x,y,slat,slng,tlat,tlng,label,fre
304,306,15.812154841216659,-44.057900584760795,41.949065,-87.648601,41.958494,-87.654966,3,403.0
244,276,10.928309321228747,-53.90579335641153,41.95469,-87.67393,41.91044,-87.6972,-1,13.0
135,181,4.094083853723078,-5.721124284454332,41.85378,-87.64665,41.890749,-87.63206,-1,3.0
449,504,-11.009683313434264,42.74997099807479,42.004450629,-87.672402405,41.924632472,-87.689307006,-1,2.0
491,498,-37.59397560765923,-21.636478966235376,41.946635831,-87.694614758,41.938428791,-87.698007756,-1,25.0
41,198,0.14613156224761895,-41.87212309941945,41.872077633,-87.629543773,41.881892,-87.648789,0,58.0
121,428,38.95167621938513,10.636353448421376,41.802562,-87.590368,41.780405646,-87.591415989,6,3.0
140,164,-19.302865631318888,-11.089843600236486,41.898969,-87.629912,41.885837,-87.6355,0,313.0
66,461,37.04483709679564,-15.172006845124162,41.885637,-87.641823,41.984044611,-87.66027383,-1,1.0
372,434,-30.87286288999824,35.610948935179096,41.900146,-87.702882,41.866501483,-87.68469707,-1,2.0
224,273,0.0184739156530762,20.58957517946726,41.913778,-87.64884,41.857813,-87.62455,-1,1.0
80,503,-39.63388954294936,29.186322133206815,41.88042,-87.655599,41.924398819,-87.715441036,-1,1.0
32,119,-29.335259979239765,20.709849415396718,41.87464,-87.65703,41.88541,-87.66732,-1,6.0
294,517,4.646126210731331,28.657085965492264,41.978353,-87.659753,42.015963,-87.675005,4,6.0
174,191,-16.16141087597303,-34.5372226826104,41.882091,-87.639833,41.880884,-87.639525,0,82.0
164,196,34.45902857662543,-5.069617955400846,41.885837,-87.6355,41.890573,-87.622072,0,105.0
31,62,35.109870733405025,-10.503923857222432,41.896776,-87.635633,41.851375173,-87.618834649,-1,1.0
134,217,-43.67487751194269,-22.895540142941243,41.877749,-87.649633,41.886773,-87.656001,0,77.0
306,510,32.24308342901095,-1.2219197850295238,41.958494,-87.654966,41.902706594,-87.709219571,-1,1.0
162,477,-27.727497052964956,33.37876011335127,41.93588,-87.67842,41.966317529,-87.701082677,-1,1.0
421,583,-45.8219287683396,-19.239052678042118,41.793429457,-87.615853262,41.746559,-87.586005,6,2.0
237,406,5.120605944102019,22.66765298144655,41.842052,-87.617,41.831274235,-87.608799195,2,13.0
38,161,37.79334139036209,29.844485768512865,41.886020828,-87.630876058,41.895764746,-87.625908033,0,189.0
13,505,34.65163418302345,-14.392363455431518,41.932418,-87.652705,41.92409085,-87.676460075,-1,10.0
30,381,1.9985253155281186,3.3022808328612845,41.899643,-87.6677,41.879787709,-87.686112808,-1,2.0
34,234,-44.74566761866798,27.505940746598913,41.926755988,-87.634428785,41.961588,-87.666036,-1,17.0
220,344,-11.942819432494396,-33.27112859159689,41.93262,-87.642385,41.96909,-87.674237,-1,10.0
274,305,-10.17818718269425,7.314208666948865,41.861267,-87.656625,41.902893,-87.687275,-1,1.0
164,377,-37.19477395020168,31.21348446595336,41.885837,-87.6355,41.884603285,-87.706303744,-1,14.0
282,316,16.176391306568547,15.356958862460266,41.864883,-87.647071,41.96325,-87.679258,-1,1.0
497,590,-26.386165539345622,-20.817576216419333,41.939398,-87.711561,41.953733,-87.740569,-1,1.0
152,216,-21.215607677670363,-18.686616133243373,41.932225,-87.658617,41.903029,-87.697474,-1,2.0
286,320,-14.269320275052563,22.977237075203067,41.878724,-87.634793,41.872187,-87.661501,-1,27.0
259,492,28.872537052274566,17.657582209690375,41.918121,-87.696972,41.94702904,-87.683367214,-1,2.0
98,374,-42.80612904430353,19.49607698913916,41.882664,-87.63253,41.898417689,-87.686596016,-1,81.0
