label,source,target,slng,slat,tlng,tlat
0,1927,1868,113.93,113.93,113.938,22.524
1,1868,1820,113.938,22.524,114.034,22.528
0,1820,1707,114.034,22.528,114.09,22.536
1,1707,1651,114.09,22.536,114.122,22.54
0,1651,1531,114.122,22.54,114.122,22.548
1,1531,1531,114.122,22.548,114.122,22.548
0,1531,1765,114.122,22.548,114.074,22.532
1,1765,1065,114.074,22.532,114.234,22.58
0,1065,1110,114.234,22.58,114.114,22.576
1,1110,1873,114.114,22.576,113.978,22.524
0,1873,1872,113.978,22.524,113.97,22.524
1,1872,1806,113.97,22.524,113.922,22.528
0,1806,1868,113.922,22.528,113.938,22.524
1,1868,1762,113.938,22.524,114.05,22.532
0,1762,1701,114.05,22.532,114.042,22.536
1,1701,1761,114.042,22.536,114.042,22.532
0,1761,1641,114.042,22.532,114.042,22.54
1,1641,1401,114.042,22.54,114.042,22.556
0,1401,1401,114.042,22.556,114.042,22.556
1,1401,1697,114.042,22.556,114.01,22.536
0,1697,1759,114.01,22.536,114.026,22.532
1,1759,1762,114.026,22.532,114.05,22.532
0,1762,1702,114.05,22.532,114.05,22.536
1,1702,1703,114.05,22.536,114.058,22.536
0,1703,1881,114.058,22.536,114.042,22.524
1,1881,1702,114.042,22.524,114.05,22.536
0,1702,1820,114.05,22.536,114.034,22.528
1,1820,66,114.034,22.528,113.922,22.644
0,66,1263,113.922,22.644,113.898,22.564
1,1263,575,113.898,22.564,114.154,22.612
0,575,1592,114.154,22.612,114.13,22.544
1,1592,1418,114.13,22.544,114.178,22.556
0,1418,1413,114.178,22.556,114.138,22.556
1,1413,1751,114.138,22.556,113.962,22.532
0,1751,1869,113.962,22.532,113.946,22.524
1,1869,1746,113.946,22.524,113.922,22.532
0,1746,1986,113.922,22.532,113.922,22.516
1,1986,1408,113.922,22.516,114.098,22.556
0,1408,1528,114.098,22.556,114.098,22.548
1,1528,1824,114.098,22.548,114.066,22.528
0,1824,2063,114.066,22.528,114.058,22.512
1,2063,1348,114.058,22.512,114.098,22.56
0,1348,1406,114.098,22.56,114.082,22.556
1,1406,1941,114.082,22.556,114.042,22.52
0,1941,1941,114.042,22.52,114.042,22.52
1,1941,1639,114.042,22.52,114.026,22.54
0,1639,1703,114.026,22.54,114.058,22.536
1,1703,2165,114.058,22.536,113.914,22.504
0,2165,2106,113.914,22.504,113.922,22.508
1,2106,1926,113.922,22.508,113.922,22.52
0,1926,1448,113.922,22.52,113.938,22.552
1,1448,1203,113.938,22.552,113.898,22.568
0,1203,1384,113.898,22.568,113.906,22.556
1,1384,1021,113.906,22.556,113.882,22.58
0,1021,960,113.882,22.58,113.874,22.584
1,960,1745,113.874,22.584,113.914,22.532
0,1745,1925,113.914,22.532,113.914,22.52
1,1925,2046,113.914,22.52,113.922,22.512
0,2046,1927,113.922,22.512,113.93,22.52
1,1927,1986,113.93,22.52,113.922,22.516
0,1986,1926,113.922,22.516,113.922,22.52
1,1926,1760,113.922,22.52,114.034,22.532
0,1760,1764,114.034,22.532,114.066,22.532
1,1764,1883,114.066,22.532,114.058,22.524
0,1883,1817,114.058,22.524,114.01,22.528
1,1817,1872,114.01,22.528,113.97,22.524
0,1872,1746,113.97,22.524,113.922,22.532
1,1746,1388,113.922,22.532,113.938,22.556
0,1388,1871,113.938,22.556,113.962,22.524
1,1871,1815,113.962,22.524,113.994,22.528
0,1815,1817,113.994,22.528,114.01,22.528
1,1817,1762,114.01,22.528,114.05,22.532
0,1762,1521,114.05,22.532,114.042,22.548
1,1521,1282,114.042,22.548,114.05,22.564
0,1282,1342,114.05,22.564,114.05,22.56
1,1342,1764,114.05,22.56,114.066,22.532
