source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
774,2041,-35.53448398,56.19643491,27.88389,120.81707,27.896075,120.819675,7,18,0
1506,1796,38.1521524,-37.29760421,28.02799,120.66168,28.04071,120.63988,2,2042,0
1106,1590,41.30617226,17.43598544,28.02311,120.59937,28.02239,120.59436,8,123,0
300,2301,-50.31708754,14.80319781,27.9685,120.75992,27.97211,120.77582,5,78,0
619,1691,-3.111684696,-49.83064805,28.01319,120.65921,28.01519,120.66268,3,27,0
331,1351,62.29498859,-24.27528345,28.03958,120.62042,28.04387,120.63355,2,369,0
1322,2671,-37.90020635,-39.93611335,28.00798,120.69032,28.00505,120.694054,1,1675,0
1659,1969,5.061013452,-1.335766413,28.00263,120.65655,28.00303,120.63895,3,0,0
812,862,12.60702895,-27.90067676,28.01375,120.6551,28.023996,120.651156,-1,26,0
375,1879,-24.83744566,-36.25823863,28.00026,120.68107,27.999526,120.680665,0,308,0
708,2016,-0.214253858,50.62336871,27.9343,120.7072,27.92264,120.70453,13,70,0
436,1506,-5.983664668,-18.93674242,28.01004,120.66769,28.02799,120.66168,-1,6,0
86,1653,4.851440041,-45.32720361,28.01563,120.65181,28.00714,120.65555,3,88,0
481,2290,31.36336184,15.58580552,28.00644,120.59212,28.01109,120.5954,8,3033,0
2012,2642,37.00829304,-23.40765706,28.02392,120.644412,28.03965,120.64593,-1,14,0
775,1962,-6.555536332,40.22746906,27.9189,120.64478,27.89658,120.7334,-1,2,0
2427,2846,-19.64894195,-13.84119087,28.0086,120.6772,28.00084,120.68266,0,74,48.55803076
1251,1311,34.4281037,39.43361994,27.97825,120.55286,27.98966,120.57449,6,226,0
1394,2512,-19.29281473,-30.41427099,27.99572,120.672658,27.99935,120.67604,0,1016,0
4,1481,16.81808401,31.11090692,27.98663,120.61963,27.96111,120.6227,6,47,0
1123,2848,-1.216518504,20.78091082,27.96552,120.64757,27.965369,120.686131,4,0,0
1623,2288,-33.7566696,-17.31571254,28.01771,120.71787,28.014173,120.713536,1,51,0
405,595,-3.586096579,-26.40318815,27.989232,120.680662,28.01681,120.67808,-1,0,0
528,2534,18.90021087,11.99243699,27.987113,120.628219,27.986553,120.628013,6,103,0
421,1989,-38.73599966,35.34132605,27.91626,120.8268,27.93336,120.81773,7,94,0
1828,2167,42.90035551,-23.69182148,28.039716,120.651201,28.0438,120.65797,2,32,0
115,369,-56.85170215,34.85520909,27.94565,120.83188,27.9277,120.83323,7,766,0
846,1589,-54.88850935,-42.25718045,28.00453,120.74869,28.02956,120.75507,1,249,0
25,663,-11.05573025,10.62063014,27.976204,120.667973,27.97693,120.66377,4,1611,0
1799,2604,-26.03878168,-13.83831152,27.99461,120.68409,28.00339,120.6913,-1,0,0
682,1743,32.65273759,-37.2089154,28.0412,120.629,28.02983,120.63357,2,40,0
1230,1646,35.67573171,-21.00393678,28.02816,120.65689,28.03083,120.63755,2,2,0
5,2816,42.36913338,-45.41228199,28.05615,120.67115,28.04411,120.63996,2,39,0
728,872,-5.752260909,2.145568626,27.98895,120.65771,27.98477,120.64882,4,130,0
11,1865,-53.09824213,2.77292237,27.99544,120.72251,27.97506,120.73909,-1,12,0
603,1667,15.68710309,38.88383643,27.97164,120.62661,27.93583,120.61337,6,66,0
273,2200,40.59937064,-37.90766396,28.02613,120.64691,28.03746,120.65611,2,1579,0
812,2136,5.956857533,-53.76872237,28.01375,120.6551,28.01201,120.65481,3,157,0
653,2568,61.09050729,12.93719026,28.03924,120.56603,28.04901,120.58582,12,183,0
1958,2528,-8.342497373,-60.05631702,28.01842,120.65967,28.023744,120.653645,-1,155,0
415,2890,14.40096003,-38.29581841,28.01975,120.65219,28.02424,120.6348,3,43,0
1441,2929,2.426195292,14.23503944,28.04381,120.65767,28.026713,120.658442,2,2,0
469,1380,-23.00992884,-40.8171183,28.00657,120.67892,28.00675,120.68244,0,79,0
1053,2802,-50.92666546,-4.498931432,27.99068,120.7167,27.98055,120.72944,-1,246,0
1075,2444,-23.92340205,-37.19026143,28.00112,120.67853,27.99277,120.67775,0,29,0
2543,2593,-14.03215583,6.494565304,27.978448,120.671401,27.96314,120.66947,4,26,0
1758,1947,-17.16750501,-3.980736272,27.99447,120.68038,27.98803,120.67876,0,42,0
1338,1351,60.97418205,-28.61641196,28.056963,120.625239,28.04387,120.63355,2,206,0
1903,2698,5.183896439,63.84008841,27.92249,120.67905,27.929541,120.681063,13,124,0
636,1845,-36.14795611,-4.09932712,27.98612,120.70958,27.99406,120.72557,1,3,0
142,1331,74.31719858,-6.877793444,28.07201,120.60483,28.07361,120.61293,10,14393,0
55,795,13.71182776,66.00484333,27.85781,120.66563,27.91839,120.66065,15,65,0
1843,2756,-23.90048557,-3.758222353,27.983923,120.680378,27.98645,120.68772,0,555,0
646,2333,-4.905339417,-34.73481693,28.02101,120.67872,28.02407,120.66508,3,50,0.357063352
332,1290,-33.60909687,-39.37956561,28.00341,120.68731,28.003203,120.691994,-1,1989,0
818,1123,-7.404629151,25.36330995,27.94749,120.64401,27.96552,120.64757,4,5,0
143,1230,8.726658284,-31.9800659,28.04546,120.65895,28.02816,120.65689,2,7,0
1098,2246,50.4923348,-8.174663174,28.0475,120.62333,28.04353,120.61647,2,82,0
237,1424,42.40458244,26.01955868,28.023421,120.592786,28.02108,120.60101,8,452,0
84,1068,-32.92449928,-20.77089815,28.01988,120.68913,28.04759,120.69334,1,67,0
1182,2686,-6.961528031,-27.43905257,28.02301,120.68076,28.0508,120.683,-1,12,0
647,2703,15.52712177,11.97990908,27.9749,120.63133,27.99103,120.63464,6,13,0
407,2697,48.00705537,11.10402627,28.026727,120.58226,28.02837,120.58877,12,69,0
1937,2476,-51.659693,-23.85477159,27.99978,120.71126,27.99996,120.71136,1,78,0
1736,2653,49.82054464,-5.139322364,28.029592,120.6244,28.03697,120.58917,-1,10,0
1656,1767,-34.0513117,14.98242224,27.94263,120.73736,27.97914,120.65482,-1,0,0
487,1516,-13.47109337,-0.968501975,27.98776,120.67428,27.98422,120.6593,-1,149,0
382,2507,-9.579407965,-58.03376849,28.01967,120.6623,28.02519,120.66642,3,523,0
93,246,-14.11974411,27.02617786,27.95117,120.66753,27.95634,120.66596,4,522,0
546,2272,7.018314594,56.47317518,27.92076,120.68433,27.91974,120.69145,13,30,0
780,2750,-36.67179479,-26.97302043,28.01006,120.68043,28.00455,120.70115,-1,0,0
198,2756,-14.40207774,-11.79214792,27.99428,120.679324,27.98645,120.68772,0,51,0
1385,1912,49.49989387,-20.03252582,28.05153,120.62762,28.05972,120.64548,2,103,0
844,1939,-17.35100411,-41.73466684,28.00813,120.67287,28.00197,120.68016,-1,42,0
1391,2481,-10.72382833,40.43399822,27.95467,120.69939,27.97265,120.66766,-1,5,0
270,332,-9.265074468,-25.1286079,28.01764,120.68649,28.00341,120.68731,-1,55,0
487,897,-23.61228632,-24.95761093,27.98776,120.67428,27.98785,120.68114,0,91,0
237,1592,59.73286368,8.886499937,28.023421,120.592786,28.04448,120.57033,-1,195,0
174,1455,49.58861255,-28.37173343,28.04894,120.64323,28.03905,120.62757,2,84,0
966,2347,-48.15439387,50.32014809,27.918388,120.823666,27.91091,120.81602,7,3157,0
672,1481,15.52433326,41.28580191,27.96719,120.59359,27.96111,120.6227,6,122,0
601,2625,-37.2317361,39.38741145,27.91157,120.83255,27.89938,120.82864,7,141,0
943,2873,-43.27092047,-13.72855646,27.98369,120.71502,28.000323,120.727524,1,25,0
48,2510,-0.408633784,-29.32224094,28.01947,120.67661,28.02204,120.66593,3,31,0
1024,1841,17.82257349,22.97899881,27.989558,120.6089,27.980151,120.605199,6,42,0
35,1899,61.59957475,2.089438029,28.06905,120.57281,28.06248,120.60338,-1,48,0
61,2099,-22.12945313,-1.034703655,28.00969,120.67408,27.99084,120.68506,-1,47,0
795,1999,3.675740768,67.29590776,27.91839,120.66065,27.91395,120.70028,-1,339,0
2568,2653,66.34509288,-9.533910119,28.04901,120.58582,28.03697,120.58917,12,248,0
539,2087,3.278523012,-31.31320502,28.01516,120.65303,28.02363,120.66164,3,3,0
387,394,49.14315542,21.87156572,28.0246,120.58292,28.029211,120.593311,-1,1088,0
2,735,7.772153306,7.169342573,28.00506,120.63866,27.993371,120.637184,-1,0,0
864,1512,57.38185575,10.36566051,28.03948,120.56891,28.04225,120.58748,12,26,0
608,1022,-28.11634604,-9.170786527,27.99367,120.69233,27.99539,120.7173,-1,3,0
734,1583,32.70754053,6.847418025,28.01097,120.60609,28.01294,120.61133,8,70,0
1664,2272,2.149515917,57.66744606,27.92159,120.70309,27.91974,120.69145,13,230,0
935,2917,-20.37670151,-2.813014626,27.97987,120.68111,27.98585,120.67889,0,13,0
1622,1724,-22.95879821,-14.82177906,28.00126,120.6875,28.00258,120.70728,-1,68,0
195,682,57.61060734,-25.2721046,28.041109,120.62863,28.0412,120.629,2,433,0
133,1194,-20.5630777,24.64018425,27.9535,120.69621,27.9573,120.67705,-1,695,0
560,798,-29.94688986,-19.98810592,28.016323,120.703784,28.013245,120.696951,1,16,0
448,1106,41.89981445,18.29089883,28.024644,120.599644,28.02311,120.59937,8,3148,0
937,2422,-58.41329862,35.09947386,27.94444,120.83533,27.93079,120.82979,7,1587,0
80,135,22.13448696,-10.10501637,28.01143,120.62756,27.9974,120.622,9,64,0
919,2701,-7.429268643,-20.97174433,28.01517,120.66789,28.0144,120.6591,3,19,0
976,2208,45.3155752,-24.9931401,28.044851,120.648285,28.047396,120.656783,2,18,0
746,1191,-10.18040287,27.40521951,27.94545,120.66986,27.95227,120.64535,4,62,0
595,1534,-23.24804021,-54.51145678,28.01681,120.67808,28.017189,120.678534,3,7648,0
542,2881,-46.83859169,-30.71732191,28.00788,120.70268,28.00606,120.714808,1,371,0
