source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
419,442,60.92947742,-12.67680079,27.92169,120.82665,27.92124,120.83163,6,123,0
1837,1876,6.532377511,-23.14504235,27.98603,120.63754,27.954186,120.587915,-1,18,0
1400,1736,-25.59763353,-19.85130461,28.01833,120.60806,28.029592,120.6244,-1,164,0
936,1388,-48.68687958,4.31342735,28.02145,120.63334,28.01822,120.64711,3,121,0
1233,2177,-10.10750855,-38.44719867,28.01428,120.58353,28.024786,120.575538,9,48,0
1511,1948,41.20089067,22.46525058,27.97302,120.73654,27.96583,120.74971,10,85,0
1948,2496,44.588756,21.48128569,27.96583,120.74971,27.94412,120.76969,10,36,0
448,1198,-23.39698243,-35.86082144,28.024644,120.599644,28.0332,120.591,-1,21,0
1969,2499,-25.20511373,4.483439265,28.00303,120.63895,28.01676,120.64573,3,28,0
1051,2085,-35.66595848,-34.30682436,28.04252,120.60963,28.04973,120.58807,-1,0,0
219,2297,46.36337537,-24.70165146,27.92298,120.70731,27.92659,120.71116,3,3871,0
331,2515,-39.29970299,-23.98051002,28.03958,120.62042,28.06853,120.60201,-1,68,0
11,2476,21.02886943,45.17041795,27.99544,120.72251,27.99996,120.71136,7,7,0
312,502,7.939139292,1.532889214,27.97483,120.67456,27.975415,120.651576,5,253,0
1969,2682,-12.31188464,1.421437647,28.00303,120.63895,27.99605,120.64769,3,133,0
1709,1821,47.91408769,15.91491936,27.97034,120.76311,27.98011,120.74803,10,481,0
1555,1692,-43.04250893,-15.54383987,28.043798,120.657967,28.0404,120.64565,7,72,0
1184,2428,8.138870043,-17.68984115,27.982012,120.645724,27.98819,120.6531,5,275,0
560,2173,10.9270035,68.22125577,28.016323,120.703784,28.01765,120.74361,7,174,0
608,1326,6.27179453,34.74815354,27.99367,120.69233,28.0011,120.69646,-1,90,0
972,1133,32.9008818,-0.159363791,27.94366,120.68317,27.97533,120.72453,-1,10,0
1684,1961,-1.187392445,-26.24906383,27.98796,120.61592,27.98795,120.62329,8,457,0
464,1123,15.07339867,-20.89419817,27.9659,120.64111,27.96552,120.64757,-1,1156,0
529,1742,-21.57959132,46.9941679,28.01174,120.68077,28.010383,120.6909,-1,166,0
1653,1977,-19.96543306,7.977020933,28.00714,120.65555,27.99753,120.67522,-1,0,0
1612,2817,9.274125105,-57.11555373,27.9938,120.57017,27.98271,120.56368,8,4046,0
428,2318,-34.94470765,10.78225692,28.02544,120.64799,28.0217,120.647,-1,34,0
1026,2190,15.08727018,13.4192866,27.981479,120.677436,27.98235,120.67423,5,1463,0
669,1689,-23.93348827,-4.614759803,28.01255,120.63174,28.02095,120.64389,-1,65,0
2186,2244,24.68062732,29.71717416,27.99188,120.7165,27.985555,120.71778,7,37,0
521,1723,-11.37033537,39.54674036,27.99979,120.66739,28.01437,120.67295,3,16,0
2200,2968,-53.27044031,15.56898153,28.03746,120.65611,28.02802,120.6546,7,109,0
1723,2897,-13.88481964,27.8663315,28.01437,120.67295,28.01385,120.66008,3,126,0
504,2270,24.48076154,17.39028278,28.05578,120.81463,28.05695,120.78536,2,297,0
