source,target,x,y,slat,slng,tlat,tlng,label,mid_x,mid_y
11,709,32.52699288,31.73222752,27.99544,120.72251,27.97153,120.73361,-1,27.9832064862249,120.73087542814596
487,2452,-15.94154411,13.29029944,27.98776,120.67428,28.0105,120.66068,-1,28.002290893566702,120.6712867918639
1713,1736,-52.7787942,-8.820732082,28.01567,120.62619,28.029592,120.6244,-1,28.02620499278847,120.62795083653852
983,1502,8.078985943,-10.75824474,27.97699,120.64991,27.991292,120.664871,-1,27.98019494043322,120.67445415667837
1365,1747,35.0017245,32.81100521,27.982061,120.727042,27.978667,120.735061,-1,27.9832064862249,120.73087542814596
1680,2446,10.50365553,9.216214415,27.96413,120.67139,27.98763,120.66308,-1,27.98019494043322,120.67445415667837
1742,2354,4.980879035,32.57029831,28.010383,120.6909,28.005487,120.689347,-1,27.997167498855806,120.6965559652936
1855,2366,17.69778917,12.82051665,27.98606,120.67631,27.97973,120.67677,-1,27.98019494043322,120.67445415667837
341,1969,-4.445029728,-13.36947126,27.98975,120.64468,28.00303,120.63895,-1,27.994554579966323,120.63662441498319
627,2012,-38.0584038,-10.96895379,28.0494,120.66193,28.02392,120.644412,-1,28.02646435607571,120.64822032843621
841,1011,-29.8025074,-4.450792278,28.0171,120.63698,28.01687,120.63372,-1,28.013442647701144,120.63344099195398
1424,2575,-24.17140584,-34.15961064,28.02108,120.60101,28.02926,120.59028,-1,28.02754658695652,120.5927625666996
1419,2745,-34.38979027,-7.153918472,28.01125,120.62553,28.02921,120.62987,-1,28.02620499278847,120.62795083653852
73,1100,-41.12688142,-5.14425836,28.01003,120.63314,28.00741,120.61911,-1,28.013442647701144,120.63344099195398
2568,2948,-34.17515813,-41.75230585,28.04901,120.58582,28.05192,120.60027,-1,28.044052805114628,120.59764638977073
865,1398,-49.47909236,-36.99565384,28.0464,120.604,28.02438,120.60303,-1,28.032579904438965,120.61508961282372
1748,2236,-0.10807946,22.67210644,27.99958,120.67043,27.9946,120.674,-1,28.002290893566702,120.6712867918639
623,1284,34.20353455,-7.830255242,27.94373,120.68649,27.94439,120.71319,-1,27.94569042978723,120.70458875957449
470,955,-55.90036111,5.01997083,28.024081,120.646811,28.04133,120.65311,-1,28.02646435607571,120.64822032843621
89,714,-39.60178511,14.07118994,28.0164,120.65703,28.02373,120.65221,-1,28.02646435607571,120.64822032843621
1385,2151,-42.82433595,-24.67401814,28.05153,120.62762,28.06452,120.61682,-1,28.06240307891061,120.60650673393843
606,1767,-11.00076936,1.841412404,28.004829,120.6409,27.97914,120.65482,-1,27.990803190363362,120.65275680331753
609,2617,-29.45079765,2.853039155,28.02096,120.62016,28.02136,120.65561,-1,28.019566281250004,120.62762658333332
1432,1605,-47.62221455,4.473563397,28.00892,120.62295,28.01353,120.6398,-1,28.013442647701144,120.63344099195398
576,1713,-47.23301541,-7.663832731,28.02002,120.63138,28.01567,120.62619,-1,28.013442647701144,120.63344099195398
943,1519,27.89177956,26.22351382,27.98369,120.71502,27.97433,120.75966,-1,27.9832064862249,120.73087542814596
1599,2096,9.440186894,-31.73869313,27.955208,120.625696,27.97745,120.61375,-1,27.963814004726906,120.59917123319326
1,347,43.16242602,19.42803801,27.97014,120.75603,27.98785,120.71681,-1,27.9832064862249,120.73087542814596
341,454,4.516062742,0.948542754,27.98975,120.64468,27.98,120.66708,-1,27.974714922237407,120.64213955798085
599,636,26.63096118,7.161629765,27.97321,120.72684,27.98612,120.70958,-1,27.9832064862249,120.73087542814596
2232,2360,20.35031904,41.2551903,27.99607,120.71016,27.97589,120.75072,-1,27.9832064862249,120.73087542814596
1342,2424,-11.29869624,53.07553076,28.00491,120.67627,28.01008,120.67058,-1,28.002290893566702,120.6712867918639
2427,2736,10.86963911,31.36549976,28.0086,120.6772,28.008768,120.696683,-1,27.997167498855806,120.6965559652936
318,1653,-10.92252084,8.840602758,27.97271,120.64743,28.00714,120.65555,-1,27.990803190363362,120.65275680331753
2506,2816,-37.34049552,-10.34089345,28.02561,120.63825,28.04411,120.63996,-1,28.02646435607571,120.64822032843621
1876,2539,15.93013832,-28.44839992,27.954186,120.587915,27.97231,120.62724,-1,27.963814004726906,120.59917123319326
2182,2788,10.51989194,-28.36315315,27.96515,120.61124,27.96243,120.65546,-1,27.974714922237407,120.64213955798085
25,1994,3.72759376,10.57949705,27.976204,120.667973,27.992378,120.669665,-1,27.98019494043322,120.67445415667837
1386,2802,19.87773718,3.422295729,27.98557,120.68544,27.98055,120.72944,-1,27.976492617449654,120.70585284228184
231,2662,28.06664304,46.54183313,27.995464,120.7078,27.9944,120.7017,-1,27.997167498855806,120.6965559652936
583,2323,-33.97998115,2.331829107,28.023258,120.644214,28.02463,120.6447,-1,28.02646435607571,120.64822032843621
650,2419,31.72731869,28.09426835,27.980495,120.729412,27.980722,120.721813,-1,27.9832064862249,120.73087542814596
1679,2508,18.1363249,29.03330166,27.99338,120.70875,27.96724,120.66561,-1,27.976299458955218,120.69459687686565
