source,target,x,y,slat,slng,tlat,tlng,label,fre,ebt
2386,2881,14.12700882,53.32167429,28.01849,120.70996,28.00606,120.714808,7,182,0.0
1123,2481,11.74009353,-7.336656972,27.96552,120.64757,27.97265,120.66766,5,24,0.0
1981,2379,-49.86746228,-21.53270375,28.04382,120.61146,28.04982,120.6511,7,12,0.0
2080,2529,-1.120116332,11.38741679,27.994449,120.671107,27.99373,120.65937,4,47,0.0
2020,2775,74.26081668,10.21641313,27.87833,120.79361,27.88321,120.80518,6,397,0.0
1049,1653,-29.90000883,29.23360016,28.00814,120.66242,28.00714,120.65555,3,128,0.0
1992,2236,-19.56968143,8.208716037,28.00371,120.66093,27.9946,120.674,-1,4,0.0
278,1499,10.14868865,31.82145213,28.00309,120.69882,28.00636,120.69525,7,2,0.0
246,2209,23.39497091,-5.744240978,27.95634,120.66596,27.96734,120.67106,5,353,0.0
2071,2810,40.29302142,24.94080885,27.97079,120.74276,27.96861,120.74222,10,115,0.0
2446,2680,1.788108447,8.146948823,27.98763,120.66308,27.97782,120.66753,-1,31,0.0
2416,2517,-33.65480594,-51.56554377,28.101941,120.550401,28.08227,120.59052,9,5,0.0
3,2086,-14.39325625,-52.59223928,28.03927,120.5877,28.03771,120.57585,9,81,0.0
4,1274,-1.729295603,-28.42453049,27.98663,120.61963,27.988034,120.621545,8,2266,0.0
1596,2049,-28.60875661,-9.849978051,28.027266,120.655901,28.01711,120.63167,-1,36,0.0
48,832,-63.71046664,17.48928609,28.01947,120.67661,28.05231,120.68005,-1,126,0.0
1774,2914,-8.40378188,0.473791874,27.99094,120.65242,28.01922,120.64427,-1,20,0.0
1130,2840,-42.58450431,-3.718905024,28.02327,120.63423,28.04323,120.58656,-1,2,0.0
227,1796,-58.56579681,-14.8446422,28.05333,120.63083,28.04071,120.63988,7,245,0.0
2236,2715,-9.430733035,44.531231,27.9946,120.674,27.99435,120.66326,4,251,0.0
2083,2351,16.44319244,-41.25093392,27.95887,120.60962,27.95215,120.60432,10,6569,0.0
617,1572,-17.31739357,-29.3173418,28.013371,120.594287,28.02693,120.60664,3,129,0.0
517,2293,6.017039939,37.0433789,27.99235,120.69767,27.9937,120.6981,4,14,0.0
1527,1753,8.803899339,-8.545334611,27.97296,120.6485,27.96526,120.65283,5,31,0.0
214,1428,-25.01405412,-8.924358938,28.01125,120.625528,28.02259,120.62662,-1,14,0.0
1459,1682,40.60628758,30.77645328,27.97111,120.739,27.96568,120.73665,10,117,0.0
986,2048,-35.4859009,-55.98403857,28.077531,120.587363,28.07875,120.58356,9,23727,0.0
1136,2762,-61.68719936,14.46265709,28.04624,120.66456,28.01919,120.67036,-1,0,0.0
680,2592,53.30853255,-5.462232443,27.95109,120.83505,27.93254,120.82423,6,6,0.0
16,1058,-42.62511823,-21.88014445,28.07646,120.62205,28.04752,120.63044,-1,20,0.0
1911,2149,15.30756235,23.18990898,27.97773,120.72673,27.98472,120.69611,-1,16,0.0
482,709,42.67408953,33.43389504,27.97359,120.74776,27.97153,120.73361,10,2409,0.0
1624,2096,7.130180725,-45.39975647,27.971715,120.608414,27.97745,120.61375,8,8749,0.0
2241,2363,32.75807211,31.0940069,27.98751,120.72346,27.98627,120.73454,-1,56,0.0
202,1653,-35.80594397,31.06928461,28.0087,120.65515,28.00714,120.65555,3,5983,0.0
1160,2415,-26.7280215,20.52705272,28.01525,120.66252,28.02,120.655,3,74,0.0
147,604,-21.35123556,-25.33136254,28.01625,120.60085,28.015777,120.594444,3,1425,0.0
57,569,-12.58569914,-8.216638143,28.00954,120.61511,28.006636,120.635923,-1,10,0.0
556,2428,-0.93312087,-14.89048582,27.99014,120.62903,27.98819,120.6531,-1,4,0.0
691,2818,-24.59294484,-56.60076081,28.05782,120.58736,28.04104,120.58846,9,118,0.0
1129,2171,62.65177788,-14.02125191,27.91593,120.8267,27.91955,120.83809,6,494,0.0
258,1684,2.786985245,-30.5544858,27.986706,120.608952,27.98796,120.61592,8,6,0.0
1399,1424,-24.08124486,-28.38259571,28.024487,120.608733,28.02108,120.60101,3,361,0.0
361,2946,50.51326109,0.783085459,27.95277,120.79908,27.91587,120.81258,-1,2,0.0
643,2379,-68.02349059,6.46524018,28.04355,120.65147,28.04982,120.6511,7,2529,0.0
1228,2826,69.91001224,16.10115075,27.873505,120.818568,27.86957,120.81322,6,155,0.0
841,2281,-29.71685478,-4.745411871,28.0171,120.63698,28.00143,120.63625,3,20,0.0
316,2335,29.29717742,-47.66663664,27.85765,120.67291,27.86624,120.66547,3,4,5.5986668733617835
589,1873,-18.95080541,20.02349576,28.013126,120.664223,28.01486,120.66325,3,99,0.0
1958,2701,-15.17247596,17.66447503,28.01842,120.65967,28.0144,120.6591,3,24,0.0
2420,2788,8.833599797,-35.5456039,27.98362,120.61785,27.96243,120.65546,-1,3,0.0
420,692,11.94855358,38.20457888,28.019477,120.715049,28.00622,120.6991,7,24,0.0
1916,2703,-0.092979241,-22.37369946,27.988443,120.627578,27.99103,120.63464,8,27,0.0
490,2602,-36.81907012,-31.58189817,28.00307,120.6298,28.041463,120.586511,-1,6,0.0
1618,1620,-13.80121329,-25.67760668,28.00977,120.60049,28.01578,120.62194,-1,7,0.0
1547,1685,-38.14765524,-55.79272049,28.07752,120.5896,28.08692,120.5856,9,1071,0.0
1848,2853,18.8520847,-8.460582475,27.96164,120.66747,27.97599,120.59211,-1,2,0.0
741,795,28.58150269,-41.02232327,27.95095,120.65688,27.91839,120.66065,-1,32,0.0
570,1344,-30.18283185,-52.27008102,28.0722,120.5703,28.06042,120.57389,9,40,0.0
2428,2767,-9.276354287,2.892599392,27.98819,120.6531,28.00293,120.64916,-1,4,0.0
489,2715,-0.081941626,18.95855771,27.99167,120.67799,27.99435,120.66326,4,9,0.28278231547376315
1347,2544,-35.41661644,24.55413553,28.01058,120.65406,28.01046,120.64997,3,59,0.0
1742,2762,-16.33201918,34.18726601,28.010383,120.6909,28.01919,120.67036,-1,12,0.0
257,1331,-43.63561173,-48.60832034,28.076984,120.602335,28.07361,120.61293,9,3533,0.0
72,1944,13.86474051,-50.46108549,27.97367,120.59704,27.97112,120.57378,8,101,0.0
1515,2968,-37.67437325,32.83213884,28.01034,120.65781,28.02802,120.6546,-1,8,0.0
1055,2775,71.63796749,8.078817133,27.89321,120.79688,27.88321,120.80518,6,155,0.0
643,837,-42.69995916,-12.36559866,28.04355,120.65147,28.040151,120.648416,7,165,0.0
2331,2600,29.60396612,-37.7191438,27.92645,120.67635,27.93308,120.67445,-1,88,0.0
616,2061,0.104977745,42.50134487,27.98866,120.6816,27.98839,120.68338,4,599,0.0
1782,2149,3.362405086,50.69449097,27.997236,120.700653,27.98472,120.69611,-1,43,0.0
467,2616,7.446418574,43.45055827,28.012398,120.68848,28.018222,120.70197,7,6,0.0
1204,1446,15.65018987,-30.7307542,27.94777,120.6125,27.98015,120.60519,-1,33,0.0
2705,2942,-10.04742515,0.835732236,27.999704,120.646389,27.99994,120.64617,3,0,0.0
1260,1440,52.32834977,-0.620430056,27.91444,120.83278,27.92653,120.78661,6,5,0.0
1577,2827,-33.03485573,-42.78778035,28.04175,120.58651,28.05657,120.60001,-1,5,0.0
1290,2619,4.688584679,35.27933042,28.003203,120.691994,27.992814,120.696225,-1,8,0.0
565,1723,-16.12550878,50.492133,28.00841,120.66454,28.01437,120.67295,3,40,0.0
741,2788,16.81391567,-17.59274575,27.95095,120.65688,27.96243,120.65546,5,3329,0.0
253,547,15.58896215,6.613877402,27.9787,120.6874,27.98521,120.67877,4,0,0.0
1085,1455,-47.90184936,-32.48517976,28.0257,120.6129,28.03905,120.62757,-1,13,0.0
2617,2657,-26.99937362,11.79610693,28.02136,120.65561,28.02002,120.64857,3,7,0.0
319,2564,21.51831174,-7.01637586,27.93831,120.66539,27.96169,120.70433,-1,0,0.0
595,1506,6.525875826,47.25054691,28.01681,120.67808,28.02799,120.66168,-1,36,0.0
1752,2890,-57.57439071,-4.460950236,28.0312,120.63393,28.02424,120.6348,-1,102,0.0
84,467,-20.78647721,47.14334189,28.01988,120.68913,28.012398,120.68848,7,361,0.0
1419,2778,-8.872906926,-7.477281289,28.01125,120.62553,27.99859,120.64039,-1,33,0.0
234,1169,-14.39830392,-24.75908344,28.01828,120.62547,28.01606,120.6036,-1,58,0.0
609,1385,-37.95884116,-6.240597961,28.02096,120.62016,28.05153,120.62762,-1,10,0.0
1215,1684,4.62673393,-46.61186578,27.98702,120.60848,27.98796,120.61592,8,2959,0.0
1602,1755,40.40606872,-32.54066629,27.91457,120.70609,27.916499,120.696973,3,149,0.0
224,1521,-7.697295873,24.54357888,28.01492,120.66976,28.00551,120.66263,3,7,0.0
29,2597,-1.393013996,18.31888545,27.9926,120.671,27.993358,120.671015,4,8,0.0
413,1105,-38.20528525,25.1809707,28.00904,120.647586,28.00791,120.64843,3,315,0.0
541,1187,10.85649108,-27.28462968,27.96193,120.60948,27.96331,120.66311,-1,48,88.21189682832062
698,1856,-36.95606573,-46.09255264,28.07126,120.60869,28.07457,120.58762,9,14,0.0
1670,2281,-10.59272674,-4.470728713,28.00788,120.63732,28.00143,120.63625,3,32,0.0
1306,1460,-5.224965658,-21.36036304,27.99383,120.62833,27.985304,120.632788,8,303,0.0
1679,2186,25.27232006,37.50550224,27.99338,120.70875,27.99188,120.7165,7,38,194.2126497548148
481,1654,-17.93330393,-31.00260966,28.00644,120.59212,28.02792,120.60131,3,32,0.0
182,1273,-26.85903336,-20.85610901,28.01939,120.61656,28.02347,120.61544,3,3916,628.5527292481638
328,803,-57.42144802,9.818269813,28.05929,120.65781,28.02715,120.65114,7,11,0.0
1503,2438,-24.98494829,-53.85289124,28.0363,120.5857,28.04073,120.58623,9,1712,0.0
1289,2744,-41.09339969,26.4506112,28.0114,120.65314,28.0132,120.654,3,75,0.0
405,858,14.58216208,15.29413885,27.989232,120.680662,27.985,120.676,4,529,0.0
1901,2817,8.194965152,-57.87250008,28.00515,120.56955,27.98271,120.56368,8,107,0.0
709,1718,17.31202012,44.60619049,27.97153,120.73361,28.001831,120.717278,-1,14,0.0
251,1129,63.89783783,-13.78380246,27.90975,120.8324,27.91593,120.8267,6,35,0.0
1058,2200,-64.25416798,3.695902086,28.04752,120.63044,28.03746,120.65611,7,167,0.0
2621,2894,-11.44627359,24.59055018,28.01036,120.67777,28.01941,120.67004,-1,14,0.0
306,2005,35.14956295,-10.73611514,27.93177,120.67802,27.92325,120.6878,-1,619,0.0
112,1429,-22.08224715,-19.68693467,28.01472,120.61007,28.019912,120.604277,3,15,0.0
914,1122,65.84129549,-6.057104155,27.93088,120.80284,27.9304,120.80754,6,286,0.0
196,2921,-44.59431908,-13.8455017,28.04336,120.653,28.04626,120.62812,7,0,0.0
959,1588,-11.31325408,9.517663607,28.009115,120.657413,28.00248,120.65588,3,17,0.0
1423,1478,-28.42887099,-2.08910181,28.0149,120.64587,28.02333,120.63639,-1,10,0.0
1308,1582,16.93628556,9.600855692,27.98404,120.68203,27.96936,120.67444,-1,127,0.0
1939,2359,12.06753577,36.36382377,28.00197,120.68016,28.00191,120.70463,-1,71,0.0
457,1613,11.2441708,44.82536631,28.01851,120.70462,28.00291,120.69868,7,0,0.0
1782,2066,3.882077718,52.11316778,27.997236,120.700653,27.99912,120.69521,7,35,0.0
468,2150,-28.03707904,-35.5450692,28.02464,120.59155,27.99711,120.58895,3,1937,0.0
382,2087,-52.4575771,20.92137486,28.01967,120.6623,28.02363,120.66164,3,1449,0.0
2149,2564,28.62697181,0.716138891,27.98472,120.69611,27.96169,120.70433,-1,31,0.0
1338,2642,-40.76027536,-12.98830176,28.056963,120.625239,28.03965,120.64593,7,7,0.0
2096,2228,15.57016509,-29.01872602,27.97745,120.61375,27.94986,120.5872,-1,2,0.749429801746369
545,999,13.02496003,-18.40601537,27.96676,120.65937,27.95989,120.64875,5,67,0.0
924,1596,-58.45354499,3.338715409,28.03883,120.63972,28.027266,120.655901,7,2,0.0
724,1870,-2.219787735,3.332166896,27.99279,120.64931,27.99576,120.6574,3,430,0.0
1982,2149,18.87487213,26.12994107,27.98851,120.70899,27.98472,120.69611,-1,21,0.0
1713,2938,-26.75580093,-13.41717248,28.01567,120.62619,28.02158,120.59654,-1,0,157.29153376050505
269,2124,38.04172743,14.98430314,27.96807,120.80604,28.0048,120.764,-1,8,0.0
2294,2712,-31.28342482,12.83761747,28.017358,120.65303,28.01694,120.64891,3,72,0.5015256916929254
448,1094,-25.2869976,-29.76259469,28.024644,120.599644,28.01845,120.59962,3,6080,0.0
954,2535,-16.25064671,33.03721197,28.018214,120.672196,28.01377,120.68309,3,106,0.0
703,1901,-1.311555986,-42.60298248,27.99417,120.59982,28.00515,120.56955,8,46,0.0
1326,2259,3.66781873,54.1606351,28.0011,120.69646,28.00154,120.69636,7,244,0.0
449,2272,42.65195992,-31.17219395,27.93173,120.70133,27.91974,120.69145,3,340,0.0
58,1839,46.85069571,31.19220661,27.97969,120.74181,27.97706,120.75192,10,669,0.0
237,2067,-15.98233429,-39.72665509,28.023421,120.592786,28.028224,120.587166,-1,82,0.0
628,1124,59.99853702,-9.431442379,27.92742,120.82878,27.92529,120.82185,6,114,0.0
606,2778,-17.24399421,-1.814859466,28.004829,120.6409,27.99859,120.64039,3,528,0.0
1053,1911,31.24521741,48.50721776,27.99068,120.7167,27.97773,120.72673,-1,118,0.0
1968,2292,-18.63854846,-47.30535277,28.054156,120.560569,28.04572,120.58643,9,11,0.0
1430,2593,33.66878046,-2.116050496,27.9498,120.72544,27.96314,120.66947,-1,0,0.0
440,1673,-13.20099708,0.689987466,28.00029,120.64716,28.00217,120.64577,3,9,0.0
1759,2433,-23.83119806,36.52036985,28.018481,120.682668,28.02202,120.66394,3,177,0.0
