id,lnt,lat
0,113.874,22.648
1,113.882,22.648
2,113.89,22.648
3,113.898,22.648
4,113.906,22.648
5,113.914,22.648
6,113.922,22.648
7,113.93,22.648
8,113.938,22.648
9,113.946,22.648
10,113.954,22.648
11,113.962,22.648
12,113.97,22.648
13,113.978,22.648
14,113.986,22.648
15,113.994,22.648
16,114.002,22.648
17,114.01,22.648
18,114.018,22.648
19,114.026,22.648
20,114.034,22.648
21,114.042,22.648
22,114.05,22.648
23,114.058,22.648
24,114.066,22.648
25,114.074,22.648
26,114.082,22.648
27,114.09,22.648
28,114.098,22.648
29,114.106,22.648
30,114.114,22.648
31,114.122,22.648
32,114.13,22.648
33,114.138,22.648
34,114.146,22.648
35,114.154,22.648
36,114.162,22.648
37,114.17,22.648
38,114.178,22.648
39,114.186,22.648
40,114.194,22.648
41,114.202,22.648
42,114.21,22.648
43,114.218,22.648
44,114.226,22.648
45,114.234,22.648
46,114.242,22.648
47,114.25,22.648
48,114.258,22.648
49,114.266,22.648
50,114.274,22.648
51,114.282,22.648
52,114.29,22.648
53,114.298,22.648
54,114.306,22.648
55,114.314,22.648
56,114.322,22.648
57,114.33,22.648
58,114.338,22.648
59,114.346,22.648
60,113.874,22.644
61,113.882,22.644
62,113.89,22.644
63,113.898,22.644
64,113.906,22.644
65,113.914,22.644
66,113.922,22.644
67,113.93,22.644
68,113.938,22.644
69,113.946,22.644
70,113.954,22.644
71,113.962,22.644
72,113.97,22.644
73,113.978,22.644
74,113.986,22.644
75,113.994,22.644
76,114.002,22.644
77,114.01,22.644
78,114.018,22.644
79,114.026,22.644
80,114.034,22.644
81,114.042,22.644
82,114.05,22.644
83,114.058,22.644
84,114.066,22.644
85,114.074,22.644
86,114.082,22.644
87,114.09,22.644
88,114.098,22.644
89,114.106,22.644
90,114.114,22.644
91,114.122,22.644
92,114.13,22.644
93,114.138,22.644
94,114.146,22.644
95,114.154,22.644
96,114.162,22.644
97,114.17,22.644
98,114.178,22.644
99,114.186,22.644
100,114.194,22.644
101,114.202,22.644
102,114.21,22.644
103,114.218,22.644
104,114.226,22.644
105,114.234,22.644
106,114.242,22.644
107,114.25,22.644
108,114.258,22.644
109,114.266,22.644
110,114.274,22.644
111,114.282,22.644
112,114.29,22.644
113,114.298,22.644
114,114.306,22.644
115,114.314,22.644
116,114.322,22.644
117,114.33,22.644
118,114.338,22.644
119,114.346,22.644
120,113.874,22.64
121,113.882,22.64
122,113.89,22.64
123,113.898,22.64
124,113.906,22.64
125,113.914,22.64
126,113.922,22.64
127,113.93,22.64
128,113.938,22.64
129,113.946,22.64
130,113.954,22.64
131,113.962,22.64
132,113.97,22.64
133,113.978,22.64
134,113.986,22.64
135,113.994,22.64
136,114.002,22.64
137,114.01,22.64
138,114.018,22.64
139,114.026,22.64
140,114.034,22.64
141,114.042,22.64
142,114.05,22.64
143,114.058,22.64
144,114.066,22.64
145,114.074,22.64
146,114.082,22.64
147,114.09,22.64
148,114.098,22.64
149,114.106,22.64
150,114.114,22.64
151,114.122,22.64
152,114.13,22.64
153,114.138,22.64
154,114.146,22.64
155,114.154,22.64
156,114.162,22.64
157,114.17,22.64
158,114.178,22.64
159,114.186,22.64
160,114.194,22.64
161,114.202,22.64
162,114.21,22.64
163,114.218,22.64
164,114.226,22.64
165,114.234,22.64
166,114.242,22.64
167,114.25,22.64
168,114.258,22.64
169,114.266,22.64
170,114.274,22.64
171,114.282,22.64
172,114.29,22.64
173,114.298,22.64
174,114.306,22.64
175,114.314,22.64
176,114.322,22.64
177,114.33,22.64
178,114.338,22.64
179,114.346,22.64
180,113.874,22.636
181,113.882,22.636
182,113.89,22.636
183,113.898,22.636
184,113.906,22.636
185,113.914,22.636
186,113.922,22.636
187,113.93,22.636
188,113.938,22.636
189,113.946,22.636
190,113.954,22.636
191,113.962,22.636
192,113.97,22.636
193,113.978,22.636
194,113.986,22.636
195,113.994,22.636
196,114.002,22.636
197,114.01,22.636
198,114.018,22.636
199,114.026,22.636
200,114.034,22.636
201,114.042,22.636
202,114.05,22.636
203,114.058,22.636
204,114.066,22.636
205,114.074,22.636
206,114.082,22.636
207,114.09,22.636
208,114.098,22.636
209,114.106,22.636
210,114.114,22.636
211,114.122,22.636
212,114.13,22.636
213,114.138,22.636
214,114.146,22.636
215,114.154,22.636
216,114.162,22.636
217,114.17,22.636
218,114.178,22.636
219,114.186,22.636
220,114.194,22.636
221,114.202,22.636
222,114.21,22.636
223,114.218,22.636
224,114.226,22.636
225,114.234,22.636
226,114.242,22.636
227,114.25,22.636
228,114.258,22.636
229,114.266,22.636
230,114.274,22.636
231,114.282,22.636
232,114.29,22.636
233,114.298,22.636
234,114.306,22.636
235,114.314,22.636
236,114.322,22.636
237,114.33,22.636
238,114.338,22.636
239,114.346,22.636
240,113.874,22.632
241,113.882,22.632
242,113.89,22.632
243,113.898,22.632
244,113.906,22.632
245,113.914,22.632
246,113.922,22.632
247,113.93,22.632
248,113.938,22.632
249,113.946,22.632
250,113.954,22.632
251,113.962,22.632
252,113.97,22.632
253,113.978,22.632
254,113.986,22.632
255,113.994,22.632
256,114.002,22.632
257,114.01,22.632
258,114.018,22.632
259,114.026,22.632
260,114.034,22.632
261,114.042,22.632
262,114.05,22.632
263,114.058,22.632
264,114.066,22.632
265,114.074,22.632
266,114.082,22.632
267,114.09,22.632
268,114.098,22.632
269,114.106,22.632
270,114.114,22.632
271,114.122,22.632
272,114.13,22.632
273,114.138,22.632
274,114.146,22.632
275,114.154,22.632
276,114.162,22.632
277,114.17,22.632
278,114.178,22.632
279,114.186,22.632
280,114.194,22.632
281,114.202,22.632
282,114.21,22.632
283,114.218,22.632
284,114.226,22.632
285,114.234,22.632
286,114.242,22.632
287,114.25,22.632
288,114.258,22.632
289,114.266,22.632
290,114.274,22.632
291,114.282,22.632
292,114.29,22.632
293,114.298,22.632
294,114.306,22.632
295,114.314,22.632
296,114.322,22.632
297,114.33,22.632
298,114.338,22.632
299,114.346,22.632
300,113.874,22.628
301,113.882,22.628
302,113.89,22.628
303,113.898,22.628
304,113.906,22.628
